Година,"Ціна, грн/МВт.год","Обсяг продажу, МВт.год","Обсяг купівлі, МВт.год"
01:00,"3 500,00","2 705,6","2 705,6"
02:00,"2 900,00","2 669,8","2 669,8"
03:00,"2 440,00","2 532,8","2 532,8"
04:00,"2 250,00","2 446,1","2 446,1"
05:00,"1 940,00","2 390,0","2 390,0"
06:00,"2 000,00","2 388,0","2 388,0"
07:00,"750,00","2 203,2","2 203,2"
08:00,"1 940,00","2 236,2","2 236,2"
09:00,"990,00","2 049,0","2 049,0"
10:00,"875,00","2 368,1","2 368,1"
11:00,"490,00","2 422,9","2 422,9"
12:00,"500,00","2 508,1","2 508,1"
13:00,"490,00","2 479,8","2 479,8"
14:00,"1 111,00","2 523,2","2 523,2"
15:00,"2 630,00","2 581,3","2 581,3"
16:00,"4 180,00","2 847,0","2 847,0"
17:00,"5 200,00","3 168,8","3 168,8"
18:00,"8 300,00","3 315,9","3 315,9"
19:00,"8 200,00","3 209,4","3 209,4"
20:00,"6 600,00","3 049,9","3 049,9"
21:00,"6 600,00","3 054,7","3 054,7"
22:00,"5 980,00","2 902,9","2 902,9"
23:00,"4 180,00","2 394,5","2 394,5"
24:00,"3 970,00","2 555,4","2 555,4"
