Grid,next_outage_duration,outage_remaining_h,hours_until_outage,Load,Година,"Ціна, грн/МВт.год","Обсяг продажу, МВт.год","Обсяг купівлі, МВт.год",Temperature_2m,Shortwave_radiation,Global_tilted_irradiance_instant
1,0.5,0.0,9.25,53.49,01:00,"5 600,00","3 104,0","3 104,0",5.4945,0.0,0.0
1,0.5,0.0,9.0,58.41,02:00,"5 600,00","2 629,3","2 629,3",5.4945,0.0,0.0
1,0.5,0.0,8.75,65.7,03:00,"5 600,00","2 867,1","2 867,1",5.4945,0.0,0.0
1,0.5,0.0,8.5,59.6,04:00,"5 600,00","2 825,6","2 825,6",5.4945,0.0,0.0
1,0.5,0.0,8.25,63.43,05:00,"5 600,00","2 826,6","2 826,6",4.4945,0.0,0.0
1,0.5,0.0,8.0,60.61,06:00,"5 600,00","2 776,9","2 776,9",4.4945,0.0,0.0
1,0.5,0.0,7.75,53.08,07:00,"5 600,00","2 808,1","2 808,1",4.4945,0.0,0.0
1,0.5,0.0,7.5,57.37,08:00,"6 900,00","3 540,7","3 540,7",4.4945,0.0,0.0
1,0.5,0.0,7.25,65.57,09:00,"6 900,00","3 757,4","3 757,4",3.6445,0.0,0.0
1,0.5,0.0,7.0,59.27,10:00,"6 827,03","4 666,6","4 666,6",3.6445,0.0,0.0
1,0.5,0.0,6.75,51.4,11:00,"3 122,00","3 957,8","3 957,8",3.6445,0.0,0.0
1,0.5,0.0,6.5,60.56,12:00,"1 001,00","3 748,0","3 748,0",3.6445,0.0,0.0
1,0.5,0.0,6.25,53.83,13:00,"500,00","3 734,4","3 734,4",2.1445,0.0,0.0
1,0.5,0.0,6.0,55.28,14:00,"499,00","3 804,9","3 804,9",2.1445,0.0,0.0
1,0.5,0.0,5.75,55.68,15:00,"499,00","3 835,7","3 835,7",2.1445,0.0,0.0
1,0.5,0.0,5.5,64.4,16:00,"500,00","3 765,9","3 765,9",2.1445,0.0,0.0
1,0.5,0.0,5.25,247.57,17:00,"1 634,00","3 808,7","3 808,7",1.0445,0.0,0.0
1,0.5,0.0,5.0,53.52,18:00,"14 970,40","4 268,8","4 268,8",1.0445,0.0,0.0
1,0.5,0.0,4.75,51.55,19:00,"14 972,71","4 401,5","4 401,5",1.0445,0.0,0.0
1,0.5,0.0,4.5,57.1,20:00,"14 979,30","4 236,6","4 236,6",1.0445,0.0,0.0
1,0.5,0.0,4.25,60.28,21:00,"15 000,00","4 313,6","4 313,6",0.3945,0.0,0.0
1,0.5,0.0,4.0,60.19,22:00,"15 000,00","4 266,5","4 266,5",0.3945,0.0,0.0
1,0.5,0.0,3.75,61.12,23:00,"15 000,00","4 366,4","4 366,4",0.3945,0.0,0.0
1,0.5,0.0,3.5,64.9,24:00,"6 900,00","3 500,0","3 500,0",0.3945,0.0,0.0
1,0.5,0.0,3.25,65.36,,,,,-0.0555,0.0,0.0
1,0.5,0.0,3.0,58.84,,,,,-0.0555,0.0,0.0
1,0.5,0.0,2.75,65.93,,,,,-0.0555,0.0,0.0
1,0.5,0.0,2.5,62.37,,,,,-0.0555,0.0,0.0
1,0.5,0.0,2.25,65.64,,,,,0.29450002,27.0,48.156116
1,0.5,0.0,2.0,55.26,,,,,0.29450002,27.0,48.156116
1,0.5,0.0,1.75,59.78,,,,,0.29450002,27.0,48.156116
1,0.5,0.0,1.5,61.0,,,,,0.29450002,27.0,48.156116
1,0.5,0.0,1.25,383.04,,,,,2.7445,124.0,138.0594
1,0.5,0.0,1.0,358.04,,,,,2.7445,124.0,138.0594
1,0.5,0.0,0.75,315.15,,,,,2.7445,124.0,138.0594
1,0.5,0.0,0.5,394.73,,,,,2.7445,124.0,138.0594
1,0.5,0.0,0.25,340.77,,,,,5.0945,245.0,273.2192
0,0.5,0.5,0.0,332.71,,,,,5.0945,245.0,273.2192
0,0.25,0.25,0.0,310.29,,,,,5.0945,245.0,273.2192
1,0.0,0.0,24.0,340.8,,,,,5.0945,245.0,273.2192
1,0.0,0.0,24.0,383.72,,,,,7.2445,367.0,409.94977
1,0.0,0.0,24.0,324.05,,,,,7.2445,367.0,409.94977
1,0.0,0.0,24.0,315.41,,,,,7.2445,367.0,409.94977
1,0.0,0.0,24.0,300.53,,,,,7.2445,367.0,409.94977
1,0.0,0.0,24.0,400.78,,,,,8.8445,491.0,548.56824
1,0.0,0.0,24.0,371.4,,,,,8.8445,491.0,548.56824
1,0.0,0.0,24.0,345.03,,,,,8.8445,491.0,548.56824
1,0.0,0.0,24.0,343.71,,,,,8.8445,491.0,548.56824
1,0.0,0.0,24.0,311.91,,,,,9.6445,529.0,577.15594
1,0.0,0.0,24.0,312.82,,,,,9.6445,529.0,577.15594
1,0.0,0.0,24.0,318.97,,,,,9.6445,529.0,577.15594
1,0.0,0.0,24.0,309.01,,,,,9.6445,529.0,577.15594
1,0.0,0.0,24.0,320.71,,,,,10.4445,569.0,595.0376
1,0.0,0.0,24.0,310.93,,,,,10.4445,569.0,595.0376
1,0.0,0.0,24.0,311.83,,,,,10.4445,569.0,595.0376
1,0.0,0.0,24.0,312.47,,,,,10.4445,569.0,595.0376
1,0.0,0.0,24.0,366.9,,,,,10.8445,588.0,590.4299
1,0.0,0.0,24.0,298.17,,,,,10.8445,588.0,590.4299
1,0.0,0.0,24.0,311.44,,,,,10.8445,588.0,590.4299
1,0.0,0.0,24.0,375.23,,,,,10.8445,588.0,590.4299
1,0.0,0.0,24.0,319.96,,,,,10.5445,519.0,499.97986
1,0.0,0.0,24.0,386.54,,,,,10.5445,519.0,499.97986
1,0.0,0.0,24.0,327.49,,,,,10.5445,519.0,499.97986
1,0.0,0.0,24.0,323.34,,,,,10.5445,519.0,499.97986
1,0.0,0.0,24.0,306.74,,,,,9.8445,410.0,376.726
1,0.0,0.0,24.0,321.1,,,,,9.8445,410.0,376.726
1,0.0,0.0,24.0,335.04,,,,,9.8445,410.0,376.726
1,0.0,0.0,24.0,379.63,,,,,9.8445,410.0,376.726
1,0.0,0.0,24.0,444.43,,,,,9.7445,329.0,287.8126
