Temperature_2m,Shortwave_radiation,Global_tilted_irradiance_instant
5.4945,0.0,0.0
5.4945,0.0,0.0
5.4945,0.0,0.0
5.4945,0.0,0.0
4.4945,0.0,0.0
4.4945,0.0,0.0
4.4945,0.0,0.0
4.4945,0.0,0.0
3.6445,0.0,0.0
3.6445,0.0,0.0
3.6445,0.0,0.0
3.6445,0.0,0.0
2.1445,0.0,0.0
2.1445,0.0,0.0
2.1445,0.0,0.0
2.1445,0.0,0.0
1.0445,0.0,0.0
1.0445,0.0,0.0
1.0445,0.0,0.0
1.0445,0.0,0.0
0.3945,0.0,0.0
0.3945,0.0,0.0
0.3945,0.0,0.0
0.3945,0.0,0.0
-0.0555,0.0,0.0
-0.0555,0.0,0.0
-0.0555,0.0,0.0
-0.0555,0.0,0.0
0.29450002,27.0,48.156116
0.29450002,27.0,48.156116
0.29450002,27.0,48.156116
0.29450002,27.0,48.156116
2.7445,124.0,138.0594
2.7445,124.0,138.0594
2.7445,124.0,138.0594
2.7445,124.0,138.0594
5.0945,245.0,273.2192
5.0945,245.0,273.2192
5.0945,245.0,273.2192
5.0945,245.0,273.2192
7.2445,367.0,409.94977
7.2445,367.0,409.94977
7.2445,367.0,409.94977
7.2445,367.0,409.94977
8.8445,491.0,548.56824
8.8445,491.0,548.56824
8.8445,491.0,548.56824
8.8445,491.0,548.56824
9.6445,529.0,577.15594
9.6445,529.0,577.15594
9.6445,529.0,577.15594
9.6445,529.0,577.15594
10.4445,569.0,595.0376
10.4445,569.0,595.0376
10.4445,569.0,595.0376
10.4445,569.0,595.0376
10.8445,588.0,590.4299
10.8445,588.0,590.4299
10.8445,588.0,590.4299
10.8445,588.0,590.4299
10.5445,519.0,499.97986
10.5445,519.0,499.97986
10.5445,519.0,499.97986
10.5445,519.0,499.97986
9.8445,410.0,376.726
9.8445,410.0,376.726
9.8445,410.0,376.726
9.8445,410.0,376.726
9.7445,329.0,287.8126
9.7445,329.0,287.8126
9.7445,329.0,287.8126
9.7445,329.0,287.8126
9.1445,181.0,141.5251
9.1445,181.0,141.5251
9.1445,181.0,141.5251
9.1445,181.0,141.5251
7.9445,79.0,53.488934
7.9445,79.0,53.488934
7.9445,79.0,53.488934
7.9445,79.0,53.488934
7.5445,33.0,12.679538
7.5445,33.0,12.679538
7.5445,33.0,12.679538
7.5445,33.0,12.679538
6.5945,1.0,0.0
6.5945,1.0,0.0
6.5945,1.0,0.0
6.5945,1.0,0.0
5.3445,0.0,0.0
5.3445,0.0,0.0
5.3445,0.0,0.0
5.3445,0.0,0.0
4.9445,0.0,0.0
4.9445,0.0,0.0
4.9445,0.0,0.0
4.9445,0.0,0.0
