Година,"Ціна, грн/МВт.год","Остання ціна, грн/МВт.год","Обсяг продажу, МВт.год","Обсяг купівлі, МВт.год"
01:00,"3 476,08","3 499,97","124,0","124,0"
02:00,"2 892,18","2 899,97","186,7","186,7"
03:00,"2 431,40","2 439,99","211,5","211,5"
04:00,"2 238,05","2 235,00","236,2","236,2"
05:00,"1 928,91","1 939,97","231,4","231,4"
06:00,"1 989,85","1 999,99","240,0","240,0"
07:00,"748,71","750,00","229,5","229,5"
08:00,"1 888,51","1 939,30","256,4","256,4"
09:00,"955,08","990,00","307,4","307,4"
10:00,"825,71","875,00","286,4","286,4"
11:00,"468,26","490,00","304,0","304,0"
12:00,"484,50","498,00","290,1","290,1"
13:00,"468,36","490,00","301,2","301,2"
14:00,"1 151,14","1 500,00","203,2","203,2"
15:00,"3 003,47","2 637,00","152,4","152,4"
16:00,"4 102,74","4 179,97","192,2","192,2"
17:00,"5 179,26","5 200,00","192,5","192,5"
18:00,"8 274,14","8 299,00","164,6","164,6"
19:00,"8 154,71","8 199,90","155,9","155,9"
20:00,"6 452,36","6 599,90","203,0","203,0"
21:00,"6 567,86","6 598,00","225,9","225,9"
22:00,"5 958,30","5 969,99","211,3","211,3"
23:00,"4 160,01","4 179,98","250,8","250,8"
24:00,"3 952,13","3 969,99","163,8","163,8"
