Date,Month,Day,Dayofweek,Base,Peak,Offpeak,Min_Price,Max_Price,Avg_Weighted_Price
1 - 1,1,1,3,3250.67,3297.17,3204.17,490.0,8300.0,3518.41
1 - 2,1,2,4,4685.27,5655.3,3715.25,1199.0,8200.0,4879.71
1 - 3,1,3,5,5203.21,6303.59,4102.83,1999.0,8000.0,5467.94
1 - 4,1,4,6,5436.63,5873.38,4999.88,2678.0,8947.11,5601.63
1 - 5,1,5,7,4869.1,4927.53,4810.67,2819.0,8600.0,4960.2
1 - 6,1,6,1,5402.0,6633.33,4170.67,2000.0,8700.0,5631.18
1 - 7,1,7,2,5168.3,6157.34,4179.25,2500.0,8600.0,5365.77
1 - 8,1,8,3,5721.23,6575.02,4867.43,2678.0,8950.66,5972.0
1 - 9,1,9,4,5835.22,6340.9,5329.53,3880.0,8200.0,5944.56
1 - 10,1,10,5,5528.75,6500.0,4557.5,2500.0,8000.0,5748.89
1 - 11,1,11,6,6163.54,6414.96,5912.11,4308.0,9000.0,6321.73
1 - 12,1,12,7,5259.18,5172.45,5345.92,2890.0,8600.0,5422.54
1 - 13,1,13,1,5627.08,6461.91,4792.25,2678.0,8936.24,5866.62
1 - 14,1,14,2,5823.01,6369.13,5276.89,3000.0,9000.0,6070.95
1 - 15,1,15,3,6162.32,6775.0,5549.64,3000.0,9000.0,6396.86
1 - 16,1,16,4,5863.48,6775.0,4951.96,2678.0,9000.0,6150.47
1 - 17,1,17,5,5744.0,6760.05,4727.95,2000.0,8950.0,6065.57
1 - 18,1,18,6,5452.88,6258.9,4646.86,2490.0,8988.69,5745.18
1 - 19,1,19,7,5387.87,5627.5,5148.24,2840.0,8990.02,5663.21
1 - 20,1,20,1,5425.32,5784.74,5065.89,2500.0,9000.0,5702.2
1 - 21,1,21,2,5958.91,6774.4,5143.42,2678.0,9000.0,6252.83
1 - 22,1,22,3,5735.13,6771.93,4698.33,2000.0,9000.0,6076.69
1 - 23,1,23,4,6120.07,6769.97,5470.17,3300.0,8989.69,6339.15
1 - 24,1,24,5,5992.28,6760.57,5224.0,2890.0,8980.0,6218.47
1 - 25,1,25,6,5731.13,6107.54,5354.73,2850.0,8992.48,5935.02
1 - 26,1,26,7,5400.51,5879.75,4921.26,2500.0,8989.15,5712.52
1 - 27,1,27,1,5376.63,6005.25,4748.0,2000.0,8900.0,5664.27
1 - 28,1,28,2,5845.8,6561.2,5130.41,2480.0,8987.55,6100.62
1 - 29,1,29,3,5868.84,6452.35,5285.33,2428.0,9000.0,6086.89
1 - 30,1,30,4,6040.95,6516.4,5565.5,2650.0,8980.0,6209.55
1 - 31,1,31,5,5909.75,6603.49,5216.0,2428.0,8700.0,6073.04
2 - 1,2,1,6,5071.21,5759.58,4382.83,2200.0,8600.0,5258.78
2 - 2,2,2,7,5135.63,5356.84,4914.42,2390.0,8922.06,5338.44
2 - 3,2,3,1,6288.89,6774.4,5803.39,3798.0,9000.0,6427.35
2 - 4,2,4,2,5591.25,6753.58,4428.92,698.0,9000.0,5917.1
2 - 5,2,5,3,5723.6,6633.21,4814.0,2000.0,8920.0,5964.57
2 - 6,2,6,4,5528.15,6257.36,4798.94,2400.0,8700.0,5680.09
2 - 7,2,7,5,5665.25,6444.14,4886.36,2480.0,8600.0,5835.34
2 - 8,2,8,6,5177.5,5762.83,4592.17,2520.0,8700.0,5334.23
2 - 9,2,9,7,5142.2,4943.77,5340.62,2350.0,8990.21,5284.11
2 - 10,2,10,1,5810.43,6133.25,5487.6,2480.0,9000.0,5963.09
2 - 11,2,11,2,6053.7,6387.6,5719.79,3000.0,9000.0,6182.31
2 - 12,2,12,3,5915.11,5930.92,5899.3,2998.0,9000.0,6014.1
2 - 13,2,13,4,5759.56,5553.5,5965.62,2700.0,9000.0,5869.6
2 - 14,2,14,5,6107.15,6673.72,5540.58,3100.0,9000.0,6281.16
2 - 15,2,15,6,6029.77,6463.81,5595.73,3858.0,9000.0,6189.28
2 - 16,2,16,7,5538.04,5284.83,5791.25,2990.0,9000.0,5653.8
2 - 17,2,17,1,6132.37,6196.35,6068.4,3858.0,9000.0,6239.2
2 - 18,2,18,2,6304.87,6179.92,6429.82,3799.0,9000.0,6398.08
2 - 19,2,19,3,6595.81,6687.78,6503.84,4640.0,9000.0,6700.49
2 - 20,2,20,4,6637.5,6775.0,6500.0,4740.0,9000.0,6751.41
2 - 21,2,21,5,6244.48,6261.67,6227.3,4250.0,9000.0,6389.14
2 - 22,2,22,6,5655.04,5421.31,5888.76,2380.0,9000.0,5773.54
2 - 23,2,23,7,5405.75,5027.17,5784.33,2000.0,9000.0,5534.71
2 - 24,2,24,1,5862.88,5796.33,5929.42,2626.0,9000.0,6009.67
2 - 25,2,25,2,6403.46,6245.83,6561.09,3950.0,9000.0,6479.11
2 - 26,2,26,3,6336.53,6294.92,6378.14,3945.0,9000.0,6472.76
2 - 27,2,27,4,6046.74,6156.67,5936.82,3750.0,9000.0,6280.75
2 - 28,2,28,5,6277.54,6650.0,5905.08,3785.0,9000.0,6489.39
