Date,Month,Day,Day_of_week,Hour,Price,Min_Price,Max_Price,Last_Price,Vol_Sale,Vol_Buy,Decl_Sale,Decl_Buy
1 - 1,1,1,3,1,3476.08,3395.0,3499.97,3499.97,124.0,124.0,420.3,165.9
1 - 1,1,1,3,2,2892.18,2813.0,2900.0,2899.97,186.7,186.7,247.1,218.1
1 - 1,1,1,3,3,2431.4,2366.8,2440.0,2439.99,211.5,211.5,383.9,348.5
1 - 1,1,1,3,4,2238.05,1501.1,2250.01,2235.0,236.2,236.2,510.4,268.3
1 - 1,1,1,3,5,1928.91,1881.8,1940.01,1939.97,231.4,231.4,518.8,261.4
1 - 1,1,1,3,6,1989.85,1940.0,2000.01,1999.99,240.0,240.0,447.9,265.5
1 - 1,1,1,3,7,748.71,629.0,1999.99,750.0,229.5,229.5,312.8,258.6
1 - 1,1,1,3,8,1888.51,1819.0,1940.01,1939.3,256.4,256.4,561.3,281.2
1 - 1,1,1,3,9,955.08,749.0,6900.0,990.0,307.4,307.4,406.6,355.3
1 - 1,1,1,3,10,825.71,500.0,875.0,875.0,286.4,286.4,447.5,316.0
1 - 1,1,1,3,11,468.26,340.0,490.0,490.0,304.0,304.0,618.5,343.6
1 - 1,1,1,3,12,484.5,250.0,500.0,498.0,290.1,290.1,651.9,325.5
1 - 1,1,1,3,13,468.36,300.0,490.0,490.0,301.2,301.2,553.1,326.3
1 - 1,1,1,3,14,1151.14,899.0,1500.0,1500.0,203.2,203.2,353.9,457.7
1 - 1,1,1,3,15,3003.47,2579.99,5600.0,2637.0,152.4,152.4,209.3,440.2
1 - 1,1,1,3,16,4102.74,3498.99,4180.0,4179.97,192.2,192.2,543.8,240.5
1 - 1,1,1,3,17,5179.26,4760.0,5200.0,5200.0,192.5,192.5,297.4,236.8
1 - 1,1,1,3,18,8274.14,8051.0,8300.0,8299.0,164.6,164.6,414.9,203.0
1 - 1,1,1,3,19,8154.71,7000.0,8200.0,8199.9,155.9,155.9,364.3,184.7
1 - 1,1,1,3,20,6452.36,5000.0,6600.0,6599.9,203.0,203.0,454.1,274.9
1 - 1,1,1,3,21,6567.86,5601.0,6600.0,6598.0,225.9,225.9,730.8,299.5
1 - 1,1,1,3,22,5958.3,5800.6,5980.0,5969.99,211.3,211.3,544.1,243.7
