Date,Month,Day,Day_of_week,Hour,DAM_Price,DAM_Vol_Sale,DAM_Vol_Buy
1 - 1,1,1,3,1,3500.0,2705.6,2705.6
1 - 1,1,1,3,2,2900.0,2669.8,2669.8
1 - 1,1,1,3,3,2440.0,2532.8,2532.8
1 - 1,1,1,3,4,2250.0,2446.1,2446.1
1 - 1,1,1,3,5,1940.0,2390.0,2390.0
1 - 1,1,1,3,6,2000.0,2388.0,2388.0
1 - 1,1,1,3,7,750.0,2203.2,2203.2
1 - 1,1,1,3,8,1940.0,2236.2,2236.2
1 - 1,1,1,3,9,990.0,2049.0,2049.0
1 - 1,1,1,3,10,875.0,2368.1,2368.1
1 - 1,1,1,3,11,490.0,2422.9,2422.9
1 - 1,1,1,3,12,500.0,2508.1,2508.1
1 - 1,1,1,3,13,490.0,2479.8,2479.8
1 - 1,1,1,3,14,1111.0,2523.2,2523.2
1 - 1,1,1,3,15,2630.0,2581.3,2581.3
1 - 1,1,1,3,16,4180.0,2847.0,2847.0
1 - 1,1,1,3,17,5200.0,3168.8,3168.8
1 - 1,1,1,3,18,8300.0,3315.9,3315.9
1 - 1,1,1,3,19,8200.0,3209.4,3209.4
1 - 1,1,1,3,20,6600.0,3049.9,3049.9
1 - 1,1,1,3,21,6600.0,3054.7,3054.7
1 - 1,1,1,3,22,5980.0,2902.9,2902.9
1 - 1,1,1,3,23,4180.0,2394.5,2394.5
1 - 1,1,1,3,24,3970.0,2555.4,2555.4
1 - 2,1,2,4,1,2500.0,2434.0,2434.0
1 - 2,1,2,4,2,2664.0,2556.3,2556.3
1 - 2,1,2,4,3,2000.0,2400.7,2400.7
1 - 2,1,2,4,4,1199.0,2347.6,2347.6
1 - 2,1,2,4,5,2000.0,2433.5,2433.5
1 - 2,1,2,4,6,2500.0,2451.6,2451.6
1 - 2,1,2,4,7,4000.0,2606.6,2606.6
1 - 2,1,2,4,8,5380.0,2899.5,2899.5
1 - 2,1,2,4,9,4680.0,3226.9,3226.9
1 - 2,1,2,4,10,5000.0,3637.1,3637.1
1 - 2,1,2,4,11,4400.0,3579.8,3579.8
1 - 2,1,2,4,12,4650.0,3663.6,3663.6
1 - 2,1,2,4,13,4350.0,3468.7,3468.7
1 - 2,1,2,4,14,4650.0,3342.2,3342.2
1 - 2,1,2,4,15,5567.26,3414.6,3414.6
1 - 2,1,2,4,16,5500.0,3646.8,3646.8
1 - 2,1,2,4,17,5566.31,3797.3,3797.3
1 - 2,1,2,4,18,8200.0,3521.3,3521.3
1 - 2,1,2,4,19,8200.0,3363.1,3363.1
1 - 2,1,2,4,20,7100.0,3294.2,3294.2
1 - 2,1,2,4,21,6600.0,3145.2,3145.2
1 - 2,1,2,4,22,5980.0,2979.2,2979.2
1 - 2,1,2,4,23,4980.0,2732.4,2732.4
1 - 2,1,2,4,24,4780.0,2871.1,2871.1
1 - 3,1,3,5,1,3800.0,2477.8,2477.8
1 - 3,1,3,5,2,2500.0,2326.0,2326.0
1 - 3,1,3,5,3,2000.0,2386.7,2386.7
1 - 3,1,3,5,4,1999.0,2315.0,2315.0
1 - 3,1,3,5,5,2000.0,2335.8,2335.8
1 - 3,1,3,5,6,2500.0,2334.1,2334.1
1 - 3,1,3,5,7,3920.0,2519.7,2519.7
1 - 3,1,3,5,8,5380.0,2890.2,2890.2
1 - 3,1,3,5,9,6200.0,3301.2,3301.2
1 - 3,1,3,5,10,6837.52,3826.2,3826.2
1 - 3,1,3,5,11,6200.0,3851.3,3851.3
1 - 3,1,3,5,12,5564.71,3880.0,3880.0
1 - 3,1,3,5,13,5565.85,3724.0,3724.0
1 - 3,1,3,5,14,5600.0,3696.7,3696.7
1 - 3,1,3,5,15,5600.0,3468.6,3468.6
1 - 3,1,3,5,16,5600.0,3785.4,3785.4
1 - 3,1,3,5,17,5600.0,4039.6,4039.6
1 - 3,1,3,5,18,8000.0,3734.1,3734.1
1 - 3,1,3,5,19,7900.0,3421.5,3421.5
1 - 3,1,3,5,20,6975.0,3379.7,3379.7
