Date,Month,Day,Hour,Day_of_week,global_tilted_irradiance_instant,Temperature_2m,Shortwave_Radiation,Avg_Weighted_Price
1 - 1,1,1,0,3,0.0,-0.8,0.0,3518.41
1 - 1,1,1,1,3,0.0,-1.3,0.0,3518.41
1 - 1,1,1,2,3,0.0,-1.9,0.0,3518.41
1 - 1,1,1,3,3,0.0,-3.1,0.0,3518.41
1 - 1,1,1,4,3,0.0,-3.3,0.0,3518.41
1 - 1,1,1,5,3,0.0,-3.4,0.0,3518.41
1 - 1,1,1,6,3,0.0,-3.9,0.0,3518.41
1 - 1,1,1,7,3,28.780107,-3.9,0.0,3518.41
1 - 1,1,1,8,3,57.330685,-3.8,0.0,3518.41
1 - 1,1,1,9,3,65.67145,-4.4,0.0,3518.41
1 - 1,1,1,10,3,67.41073,-4.4,20.0,3518.41
1 - 1,1,1,11,3,64.23602,-3.2,101.0,3518.41
1 - 1,1,1,12,3,56.4883,-0.9,187.0,3518.41
1 - 1,1,1,13,3,41.95282,1.1,243.0,3518.41
1 - 1,1,1,14,3,17.06886,2.7,260.0,3518.41
1 - 1,1,1,15,3,0.0,4.8,229.0,3518.41
1 - 1,1,1,16,3,0.0,4.7,160.0,3518.41
1 - 1,1,1,17,3,0.0,3.1,68.0,3518.41
1 - 1,1,1,18,3,0.0,3.4,5.0,3518.41
1 - 1,1,1,19,3,0.0,2.0,0.0,3518.41
1 - 1,1,1,20,3,0.0,1.3,0.0,3518.41
1 - 1,1,1,21,3,0.0,1.1,0.0,3518.41
1 - 1,1,1,22,3,0.0,0.5,0.0,3518.41
1 - 1,1,1,23,3,0.0,0.6,0.0,3518.41
1 - 2,1,2,0,4,0.0,2.2,0.0,4879.71
1 - 2,1,2,1,4,0.0,1.1,0.0,4879.71
1 - 2,1,2,2,4,0.0,0.2,0.0,4879.71
1 - 2,1,2,3,4,0.0,1.1,0.0,4879.71
1 - 2,1,2,4,4,0.0,0.2,0.0,4879.71
1 - 2,1,2,5,4,0.0,0.7,0.0,4879.71
1 - 2,1,2,6,4,0.0,1.6,0.0,4879.71
1 - 2,1,2,7,4,31.093391,2.5,0.0,4879.71
1 - 2,1,2,8,4,54.947544,4.4,0.0,4879.71
1 - 2,1,2,9,4,62.60826,5.7,0.0,4879.71
1 - 2,1,2,10,4,64.58171,6.2,22.0,4879.71
1 - 2,1,2,11,4,60.71488,7.7,110.0,4879.71
1 - 2,1,2,12,4,53.270363,9.5,201.0,4879.71
1 - 2,1,2,13,4,45.54496,10.5,262.0,4879.71
1 - 2,1,2,14,4,17.793118,10.9,278.0,4879.71
1 - 2,1,2,15,4,0.0,11.3,246.0,4879.71
1 - 2,1,2,16,4,0.0,10.3,172.0,4879.71
1 - 2,1,2,17,4,0.0,9.1,74.0,4879.71
1 - 2,1,2,18,4,0.0,8.1,6.0,4879.71
1 - 2,1,2,19,4,0.0,7.4,0.0,4879.71
1 - 2,1,2,20,4,0.0,7.2,0.0,4879.71
1 - 2,1,2,21,4,0.0,7.2,0.0,4879.71
1 - 2,1,2,22,4,0.0,7.1,0.0,4879.71
1 - 2,1,2,23,4,0.0,7.0,0.0,4879.71
1 - 3,1,3,0,5,0.0,7.1,0.0,5467.94
1 - 3,1,3,1,5,0.0,7.6,0.0,5467.94
1 - 3,1,3,2,5,0.0,7.9,0.0,5467.94
1 - 3,1,3,3,5,0.0,7.9,0.0,5467.94
1 - 3,1,3,4,5,0.0,7.2,0.0,5467.94
1 - 3,1,3,5,5,0.0,6.2,0.0,5467.94
1 - 3,1,3,6,5,0.0,4.5,0.0,5467.94
1 - 3,1,3,7,5,11.687857,3.7,0.0,5467.94
1 - 3,1,3,8,5,27.005611,2.9,0.0,5467.94
1 - 3,1,3,9,5,63.19612,1.2,0.0,5467.94
1 - 3,1,3,10,5,101.0163,0.6,7.0,5467.94
1 - 3,1,3,11,5,78.127,0.5,30.0,5467.94
1 - 3,1,3,12,5,60.654587,0.6,62.0,5467.94
1 - 3,1,3,13,5,29.675577,1.1,97.0,5467.94
1 - 3,1,3,14,5,12.90107,1.2,86.0,5467.94
1 - 3,1,3,15,5,0.0,0.6,50.0,5467.94
1 - 3,1,3,16,5,0.0,-0.0,47.0,5467.94
1 - 3,1,3,17,5,0.0,-0.3,25.0,5467.94
1 - 3,1,3,18,5,0.0,-0.2,3.0,5467.94
1 - 3,1,3,19,5,0.0,-0.4,0.0,5467.94
1 - 3,1,3,20,5,0.0,-0.7,0.0,5467.94
1 - 3,1,3,21,5,0.0,-0.9,0.0,5467.94
1 - 3,1,3,22,5,0.0,-0.9,0.0,5467.94
1 - 3,1,3,23,5,0.0,-1.1,0.0,5467.94
1 - 4,1,4,0,6,0.0,-1.5,0.0,5601.63
1 - 4,1,4,1,6,0.0,-1.9,0.0,5601.63
1 - 4,1,4,2,6,0.0,-2.0,0.0,5601.63
1 - 4,1,4,3,6,0.0,-1.4,0.0,5601.63
1 - 4,1,4,4,6,0.0,-1.1,0.0,5601.63
1 - 4,1,4,5,6,0.0,-1.5,0.0,5601.63
1 - 4,1,4,6,6,0.0,-1.8,0.0,5601.63
1 - 4,1,4,7,6,35.175114,-1.5,0.0,5601.63
1 - 4,1,4,8,6,55.784985,-1.2,0.0,5601.63
1 - 4,1,4,9,6,59.483013,-0.9,0.0,5601.63
1 - 4,1,4,10,6,61.824757,-1.5,12.0,5601.63
1 - 4,1,4,11,6,59.076054,-1.1,69.0,5601.63
1 - 4,1,4,12,6,51.80662,-0.5,129.0,5601.63
1 - 4,1,4,13,6,44.372257,0.0,262.0,5601.63
1 - 4,1,4,14,6,17.128223,0.2,296.0,5601.63
1 - 4,1,4,15,6,0.0,1.0,266.0,5601.63
1 - 4,1,4,16,6,0.0,0.8,191.0,5601.63
1 - 4,1,4,17,6,0.0,-0.2,84.0,5601.63
1 - 4,1,4,18,6,0.0,-0.6,7.0,5601.63
1 - 4,1,4,19,6,0.0,-1.4,0.0,5601.63
1 - 4,1,4,20,6,0.0,-1.7,0.0,5601.63
1 - 4,1,4,21,6,0.0,-2.4,0.0,5601.63
1 - 4,1,4,22,6,0.0,-2.7,0.0,5601.63
1 - 4,1,4,23,6,0.0,-2.8,0.0,5601.63
1 - 5,1,5,0,7,0.0,-3.4,0.0,4960.2
1 - 5,1,5,1,7,0.0,-3.4,0.0,4960.2
1 - 5,1,5,2,7,0.0,-4.2,0.0,4960.2
1 - 5,1,5,3,7,0.0,-4.5,0.0,4960.2
1 - 5,1,5,4,7,0.0,-4.5,0.0,4960.2
1 - 5,1,5,5,7,0.0,-4.6,0.0,4960.2
1 - 5,1,5,6,7,0.0,-5.4,0.0,4960.2
1 - 5,1,5,7,7,28.467247,-5.7,0.0,4960.2
1 - 5,1,5,8,7,52.4087,-6.0,0.0,4960.2
1 - 5,1,5,9,7,60.51659,-6.5,0.0,4960.2
1 - 5,1,5,10,7,61.785183,-6.5,23.0,4960.2
1 - 5,1,5,11,7,60.85828,-5.3,114.0,4960.2
1 - 5,1,5,12,7,54.301167,-3.2,208.0,4960.2
1 - 5,1,5,13,7,49.011227,-2.0,272.0,4960.2
1 - 5,1,5,14,7,29.887829,-0.8,291.0,4960.2
1 - 5,1,5,15,7,0.0,1.5,260.0,4960.2
1 - 5,1,5,16,7,0.0,1.3,174.0,4960.2
1 - 5,1,5,17,7,0.0,0.4,71.0,4960.2
1 - 5,1,5,18,7,0.0,-0.3,7.0,4960.2
1 - 5,1,5,19,7,0.0,-0.8,0.0,4960.2
1 - 5,1,5,20,7,0.0,-1.0,0.0,4960.2
1 - 5,1,5,21,7,0.0,-1.4,0.0,4960.2
1 - 5,1,5,22,7,0.0,-1.5,0.0,4960.2
1 - 5,1,5,23,7,0.0,-1.5,0.0,4960.2
1 - 6,1,6,0,1,0.0,-1.9,0.0,5631.18
1 - 6,1,6,1,1,0.0,-1.9,0.0,5631.18
1 - 6,1,6,2,1,0.0,-1.5,0.0,5631.18
1 - 6,1,6,3,1,0.0,-1.2,0.0,5631.18
1 - 6,1,6,4,1,0.0,-0.9,0.0,5631.18
1 - 6,1,6,5,1,0.0,-0.8,0.0,5631.18
1 - 6,1,6,6,1,0.0,-0.4,0.0,5631.18
1 - 6,1,6,7,1,20.804007,-0.4,0.0,5631.18
1 - 6,1,6,8,1,37.988007,-0.1,0.0,5631.18
1 - 6,1,6,9,1,101.69229,0.1,0.0,5631.18
1 - 6,1,6,10,1,123.53732,0.4,10.0,5631.18
1 - 6,1,6,11,1,126.91944,1.1,50.0,5631.18
1 - 6,1,6,12,1,104.1557,1.8,90.0,5631.18
1 - 6,1,6,13,1,76.21403,2.5,100.0,5631.18
1 - 6,1,6,14,1,24.942575,3.7,176.0,5631.18
1 - 6,1,6,15,1,0.0,5.1,185.0,5631.18
1 - 6,1,6,16,1,0.0,5.2,149.0,5631.18
1 - 6,1,6,17,1,0.0,4.0,71.0,5631.18
1 - 6,1,6,18,1,0.0,3.4,7.0,5631.18
1 - 6,1,6,19,1,0.0,2.3,0.0,5631.18
1 - 6,1,6,20,1,0.0,2.1,0.0,5631.18
1 - 6,1,6,21,1,0.0,2.2,0.0,5631.18
1 - 6,1,6,22,1,0.0,1.9,0.0,5631.18
1 - 6,1,6,23,1,0.0,1.8,0.0,5631.18
1 - 7,1,7,0,2,0.0,1.6,0.0,5365.77
1 - 7,1,7,1,2,0.0,1.7,0.0,5365.77
1 - 7,1,7,2,2,0.0,2.2,0.0,5365.77
1 - 7,1,7,3,2,0.0,2.0,0.0,5365.77
1 - 7,1,7,4,2,0.0,2.2,0.0,5365.77
1 - 7,1,7,5,2,0.0,2.3,0.0,5365.77
1 - 7,1,7,6,2,0.0,2.4,0.0,5365.77
1 - 7,1,7,7,2,16.037252,2.2,0.0,5365.77
1 - 7,1,7,8,2,33.054424,2.6,0.0,5365.77
1 - 7,1,7,9,2,27.38246,2.5,0.0,5365.77
