Date,Month,Day,Hour,global_tilted_irradiance_instant
1 - 1,1,1,0,0.0
1 - 1,1,1,1,0.0
1 - 1,1,1,2,0.0
1 - 1,1,1,3,0.0
1 - 1,1,1,4,0.0
1 - 1,1,1,5,0.0
1 - 1,1,1,6,0.0
1 - 1,1,1,7,28.780107
1 - 1,1,1,8,57.330685
1 - 1,1,1,9,65.67145
1 - 1,1,1,10,67.41073
1 - 1,1,1,11,64.23602
1 - 1,1,1,12,56.4883
1 - 1,1,1,13,41.95282
1 - 1,1,1,14,17.06886
1 - 1,1,1,15,0.0
1 - 1,1,1,16,0.0
1 - 1,1,1,17,0.0
1 - 1,1,1,18,0.0
1 - 1,1,1,19,0.0
1 - 1,1,1,20,0.0
1 - 1,1,1,21,0.0
1 - 1,1,1,22,0.0
1 - 1,1,1,23,0.0
1 - 2,1,2,0,0.0
1 - 2,1,2,1,0.0
1 - 2,1,2,2,0.0
1 - 2,1,2,3,0.0
1 - 2,1,2,4,0.0
1 - 2,1,2,5,0.0
1 - 2,1,2,6,0.0
1 - 2,1,2,7,31.093391
1 - 2,1,2,8,54.947544
1 - 2,1,2,9,62.60826
1 - 2,1,2,10,64.58171
1 - 2,1,2,11,60.71488
1 - 2,1,2,12,53.270363
1 - 2,1,2,13,45.54496
1 - 2,1,2,14,17.793118
1 - 2,1,2,15,0.0
1 - 2,1,2,16,0.0
1 - 2,1,2,17,0.0
1 - 2,1,2,18,0.0
1 - 2,1,2,19,0.0
1 - 2,1,2,20,0.0
1 - 2,1,2,21,0.0
1 - 2,1,2,22,0.0
1 - 2,1,2,23,0.0
1 - 3,1,3,0,0.0
1 - 3,1,3,1,0.0
1 - 3,1,3,2,0.0
1 - 3,1,3,3,0.0
1 - 3,1,3,4,0.0
1 - 3,1,3,5,0.0
1 - 3,1,3,6,0.0
1 - 3,1,3,7,11.687857
1 - 3,1,3,8,27.005611
1 - 3,1,3,9,63.19612
1 - 3,1,3,10,101.0163
1 - 3,1,3,11,78.127
1 - 3,1,3,12,60.654587
1 - 3,1,3,13,29.675577
1 - 3,1,3,14,12.90107
1 - 3,1,3,15,0.0
1 - 3,1,3,16,0.0
1 - 3,1,3,17,0.0
1 - 3,1,3,18,0.0
1 - 3,1,3,19,0.0
1 - 3,1,3,20,0.0
1 - 3,1,3,21,0.0
1 - 3,1,3,22,0.0
1 - 3,1,3,23,0.0
1 - 4,1,4,0,0.0
1 - 4,1,4,1,0.0
1 - 4,1,4,2,0.0
1 - 4,1,4,3,0.0
1 - 4,1,4,4,0.0
1 - 4,1,4,5,0.0
1 - 4,1,4,6,0.0
1 - 4,1,4,7,35.175114
1 - 4,1,4,8,55.784985
1 - 4,1,4,9,59.483013
1 - 4,1,4,10,61.824757
1 - 4,1,4,11,59.076054
1 - 4,1,4,12,51.80662
1 - 4,1,4,13,44.372257
1 - 4,1,4,14,17.128223
1 - 4,1,4,15,0.0
1 - 4,1,4,16,0.0
1 - 4,1,4,17,0.0
1 - 4,1,4,18,0.0
1 - 4,1,4,19,0.0
1 - 4,1,4,20,0.0
1 - 4,1,4,21,0.0
1 - 4,1,4,22,0.0
1 - 4,1,4,23,0.0
1 - 5,1,5,0,0.0
1 - 5,1,5,1,0.0
1 - 5,1,5,2,0.0
1 - 5,1,5,3,0.0
1 - 5,1,5,4,0.0
1 - 5,1,5,5,0.0
1 - 5,1,5,6,0.0
1 - 5,1,5,7,28.467247
1 - 5,1,5,8,52.4087
1 - 5,1,5,9,60.51659
1 - 5,1,5,10,61.785183
1 - 5,1,5,11,60.85828
1 - 5,1,5,12,54.301167
1 - 5,1,5,13,49.011227
1 - 5,1,5,14,29.887829
1 - 5,1,5,15,0.0
1 - 5,1,5,16,0.0
1 - 5,1,5,17,0.0
1 - 5,1,5,18,0.0
1 - 5,1,5,19,0.0
1 - 5,1,5,20,0.0
1 - 5,1,5,21,0.0
1 - 5,1,5,22,0.0
1 - 5,1,5,23,0.0
1 - 6,1,6,0,0.0
1 - 6,1,6,1,0.0
1 - 6,1,6,2,0.0
1 - 6,1,6,3,0.0
1 - 6,1,6,4,0.0
1 - 6,1,6,5,0.0
1 - 6,1,6,6,0.0
1 - 6,1,6,7,20.804007
1 - 6,1,6,8,37.988007
1 - 6,1,6,9,101.69229
1 - 6,1,6,10,123.53732
1 - 6,1,6,11,126.91944
1 - 6,1,6,12,104.1557
1 - 6,1,6,13,76.21403
1 - 6,1,6,14,24.942575
1 - 6,1,6,15,0.0
1 - 6,1,6,16,0.0
1 - 6,1,6,17,0.0
1 - 6,1,6,18,0.0
1 - 6,1,6,19,0.0
1 - 6,1,6,20,0.0
1 - 6,1,6,21,0.0
1 - 6,1,6,22,0.0
1 - 6,1,6,23,0.0
1 - 7,1,7,0,0.0
1 - 7,1,7,1,0.0
1 - 7,1,7,2,0.0
1 - 7,1,7,3,0.0
1 - 7,1,7,4,0.0
1 - 7,1,7,5,0.0
1 - 7,1,7,6,0.0
1 - 7,1,7,7,16.037252
1 - 7,1,7,8,33.054424
1 - 7,1,7,9,27.38246
1 - 7,1,7,10,26.23315
1 - 7,1,7,11,40.973408
1 - 7,1,7,12,61.2326
1 - 7,1,7,13,42.07036
1 - 7,1,7,14,4.61478
1 - 7,1,7,15,0.0
1 - 7,1,7,16,0.0
1 - 7,1,7,17,0.0
1 - 7,1,7,18,0.0
1 - 7,1,7,19,0.0
1 - 7,1,7,20,0.0
1 - 7,1,7,21,0.0
1 - 7,1,7,22,0.0
1 - 7,1,7,23,0.0
1 - 8,1,8,0,0.0
1 - 8,1,8,1,0.0
1 - 8,1,8,2,0.0
1 - 8,1,8,3,0.0
1 - 8,1,8,4,0.0
1 - 8,1,8,5,0.0
1 - 8,1,8,6,0.0
1 - 8,1,8,7,25.226103
1 - 8,1,8,8,65.74008
1 - 8,1,8,9,77.18332
1 - 8,1,8,10,104.321365
1 - 8,1,8,11,110.97282
1 - 8,1,8,12,91.79674
1 - 8,1,8,13,74.984726
1 - 8,1,8,14,25.06221
1 - 8,1,8,15,0.0
1 - 8,1,8,16,0.0
1 - 8,1,8,17,0.0
1 - 8,1,8,18,0.0
1 - 8,1,8,19,0.0
1 - 8,1,8,20,0.0
1 - 8,1,8,21,0.0
1 - 8,1,8,22,0.0
1 - 8,1,8,23,0.0
1 - 9,1,9,0,0.0
1 - 9,1,9,1,0.0
1 - 9,1,9,2,0.0
1 - 9,1,9,3,0.0
1 - 9,1,9,4,0.0
1 - 9,1,9,5,0.0
1 - 9,1,9,6,0.0
1 - 9,1,9,7,34.01574
1 - 9,1,9,8,55.169678
1 - 9,1,9,9,80.37566
1 - 9,1,9,10,107.10265
1 - 9,1,9,11,121.8152
1 - 9,1,9,12,103.32204
1 - 9,1,9,13,71.64053
1 - 9,1,9,14,28.430082
1 - 9,1,9,15,0.0
1 - 9,1,9,16,0.0
1 - 9,1,9,17,0.0
1 - 9,1,9,18,0.0
1 - 9,1,9,19,0.0
1 - 9,1,9,20,0.0
1 - 9,1,9,21,0.0
1 - 9,1,9,22,0.0
1 - 9,1,9,23,0.0
1 - 10,1,10,0,0.0
1 - 10,1,10,1,0.0
1 - 10,1,10,2,0.0
1 - 10,1,10,3,0.0
1 - 10,1,10,4,0.0
1 - 10,1,10,5,0.0
1 - 10,1,10,6,0.0
1 - 10,1,10,7,35.7399
1 - 10,1,10,8,68.54979
1 - 10,1,10,9,115.03947
1 - 10,1,10,10,121.23841
1 - 10,1,10,11,99.709595
1 - 10,1,10,12,67.39923
1 - 10,1,10,13,62.978382
1 - 10,1,10,14,16.14724
1 - 10,1,10,15,0.0
1 - 10,1,10,16,0.0
1 - 10,1,10,17,0.0
1 - 10,1,10,18,0.0
1 - 10,1,10,19,0.0
1 - 10,1,10,20,0.0
1 - 10,1,10,21,0.0
1 - 10,1,10,22,0.0
1 - 10,1,10,23,0.0
1 - 11,1,11,0,0.0
1 - 11,1,11,1,0.0
1 - 11,1,11,2,0.0
1 - 11,1,11,3,0.0
1 - 11,1,11,4,0.0
1 - 11,1,11,5,0.0
1 - 11,1,11,6,0.0
1 - 11,1,11,7,29.338692
1 - 11,1,11,8,53.364056
1 - 11,1,11,9,67.68052
1 - 11,1,11,10,77.02698
1 - 11,1,11,11,85.76703
1 - 11,1,11,12,77.843376
1 - 11,1,11,13,68.43532
1 - 11,1,11,14,33.694633
1 - 11,1,11,15,0.0
1 - 11,1,11,16,0.0
1 - 11,1,11,17,0.0
1 - 11,1,11,18,0.0
1 - 11,1,11,19,0.0
1 - 11,1,11,20,0.0
1 - 11,1,11,21,0.0
1 - 11,1,11,22,0.0
1 - 11,1,11,23,0.0
1 - 12,1,12,0,0.0
1 - 12,1,12,1,0.0
1 - 12,1,12,2,0.0
1 - 12,1,12,3,0.0
1 - 12,1,12,4,0.0
1 - 12,1,12,5,0.0
1 - 12,1,12,6,0.0
1 - 12,1,12,7,33.363617
1 - 12,1,12,8,66.2594
1 - 12,1,12,9,111.25803
1 - 12,1,12,10,119.5906
1 - 12,1,12,11,99.48483
1 - 12,1,12,12,106.187675
1 - 12,1,12,13,50.421703
1 - 12,1,12,14,25.192472
1 - 12,1,12,15,0.0
1 - 12,1,12,16,0.0
1 - 12,1,12,17,0.0
1 - 12,1,12,18,0.0
1 - 12,1,12,19,0.0
1 - 12,1,12,20,0.0
1 - 12,1,12,21,0.0
1 - 12,1,12,22,0.0
1 - 12,1,12,23,0.0
1 - 13,1,13,0,0.0
1 - 13,1,13,1,0.0
1 - 13,1,13,2,0.0
1 - 13,1,13,3,0.0
1 - 13,1,13,4,0.0
1 - 13,1,13,5,0.0
1 - 13,1,13,6,0.0
1 - 13,1,13,7,32.910294
1 - 13,1,13,8,62.68401
1 - 13,1,13,9,75.887665
1 - 13,1,13,10,81.02401
1 - 13,1,13,11,76.37661
1 - 13,1,13,12,76.48896
1 - 13,1,13,13,70.81613
1 - 13,1,13,14,29.296509
1 - 13,1,13,15,0.0
1 - 13,1,13,16,0.0
1 - 13,1,13,17,0.0
1 - 13,1,13,18,0.0
1 - 13,1,13,19,0.0
1 - 13,1,13,20,0.0
1 - 13,1,13,21,0.0
1 - 13,1,13,22,0.0
1 - 13,1,13,23,0.0
1 - 14,1,14,0,0.0
1 - 14,1,14,1,0.0
1 - 14,1,14,2,0.0
1 - 14,1,14,3,0.0
1 - 14,1,14,4,0.0
1 - 14,1,14,5,0.0
1 - 14,1,14,6,0.0
1 - 14,1,14,7,34.399364
1 - 14,1,14,8,80.95913
1 - 14,1,14,9,98.92759
1 - 14,1,14,10,88.75037
1 - 14,1,14,11,71.536865
1 - 14,1,14,12,61.33074
1 - 14,1,14,13,50.168602
1 - 14,1,14,14,24.37662
1 - 14,1,14,15,0.0
1 - 14,1,14,16,0.0
1 - 14,1,14,17,0.0
1 - 14,1,14,18,0.0
1 - 14,1,14,19,0.0
1 - 14,1,14,20,0.0
1 - 14,1,14,21,0.0
1 - 14,1,14,22,0.0
1 - 14,1,14,23,0.0
1 - 15,1,15,0,0.0
1 - 15,1,15,1,0.0
1 - 15,1,15,2,0.0
1 - 15,1,15,3,0.0
1 - 15,1,15,4,0.0
1 - 15,1,15,5,0.0
1 - 15,1,15,6,0.0
1 - 15,1,15,7,35.655407
1 - 15,1,15,8,91.85405
1 - 15,1,15,9,86.10112
1 - 15,1,15,10,132.3068
1 - 15,1,15,11,167.93327
1 - 15,1,15,12,138.47609
1 - 15,1,15,13,97.16657
1 - 15,1,15,14,43.096394
1 - 15,1,15,15,0.0
1 - 15,1,15,16,0.0
1 - 15,1,15,17,0.0
1 - 15,1,15,18,0.0
1 - 15,1,15,19,0.0
1 - 15,1,15,20,0.0
1 - 15,1,15,21,0.0
1 - 15,1,15,22,0.0
1 - 15,1,15,23,0.0
1 - 16,1,16,0,0.0
1 - 16,1,16,1,0.0
1 - 16,1,16,2,0.0
1 - 16,1,16,3,0.0
1 - 16,1,16,4,0.0
1 - 16,1,16,5,0.0
1 - 16,1,16,6,0.0
1 - 16,1,16,7,8.268747
1 - 16,1,16,8,31.337564
1 - 16,1,16,9,41.97575
1 - 16,1,16,10,58.364826
1 - 16,1,16,11,53.966396
1 - 16,1,16,12,46.20256
1 - 16,1,16,13,34.707825
1 - 16,1,16,14,14.658305
1 - 16,1,16,15,0.0
1 - 16,1,16,16,0.0
1 - 16,1,16,17,0.0
1 - 16,1,16,18,0.0
1 - 16,1,16,19,0.0
1 - 16,1,16,20,0.0
1 - 16,1,16,21,0.0
1 - 16,1,16,22,0.0
1 - 16,1,16,23,0.0
1 - 17,1,17,0,0.0
1 - 17,1,17,1,0.0
1 - 17,1,17,2,0.0
1 - 17,1,17,3,0.0
1 - 17,1,17,4,0.0
1 - 17,1,17,5,0.0
1 - 17,1,17,6,0.0
1 - 17,1,17,7,24.474606
1 - 17,1,17,8,47.85823
1 - 17,1,17,9,76.825516
1 - 17,1,17,10,79.311935
1 - 17,1,17,11,91.899025
1 - 17,1,17,12,86.296616
1 - 17,1,17,13,50.50696
1 - 17,1,17,14,29.938608
1 - 17,1,17,15,0.0
1 - 17,1,17,16,0.0
1 - 17,1,17,17,0.0
1 - 17,1,17,18,0.0
1 - 17,1,17,19,0.0
1 - 17,1,17,20,0.0
1 - 17,1,17,21,0.0
1 - 17,1,17,22,0.0
1 - 17,1,17,23,0.0
1 - 18,1,18,0,0.0
1 - 18,1,18,1,0.0
1 - 18,1,18,2,0.0
1 - 18,1,18,3,0.0
1 - 18,1,18,4,0.0
1 - 18,1,18,5,0.0
1 - 18,1,18,6,0.0
1 - 18,1,18,7,34.704983
1 - 18,1,18,8,73.54244
1 - 18,1,18,9,71.65655
1 - 18,1,18,10,87.62428
1 - 18,1,18,11,73.159874
1 - 18,1,18,12,58.03323
1 - 18,1,18,13,46.133007
1 - 18,1,18,14,26.872335
1 - 18,1,18,15,0.0
1 - 18,1,18,16,0.0
1 - 18,1,18,17,0.0
1 - 18,1,18,18,0.0
1 - 18,1,18,19,0.0
1 - 18,1,18,20,0.0
1 - 18,1,18,21,0.0
1 - 18,1,18,22,0.0
1 - 18,1,18,23,0.0
1 - 19,1,19,0,0.0
1 - 19,1,19,1,0.0
1 - 19,1,19,2,0.0
1 - 19,1,19,3,0.0
1 - 19,1,19,4,0.0
1 - 19,1,19,5,0.0
1 - 19,1,19,6,0.0
1 - 19,1,19,7,27.655235
1 - 19,1,19,8,69.58991
1 - 19,1,19,9,119.69723
1 - 19,1,19,10,135.00848
1 - 19,1,19,11,103.080795
1 - 19,1,19,12,82.165
1 - 19,1,19,13,65.79056
1 - 19,1,19,14,30.738577
1 - 19,1,19,15,0.0
1 - 19,1,19,16,0.0
1 - 19,1,19,17,0.0
1 - 19,1,19,18,0.0
1 - 19,1,19,19,0.0
1 - 19,1,19,20,0.0
1 - 19,1,19,21,0.0
1 - 19,1,19,22,0.0
1 - 19,1,19,23,0.0
1 - 20,1,20,0,0.0
1 - 20,1,20,1,0.0
1 - 20,1,20,2,0.0
1 - 20,1,20,3,0.0
1 - 20,1,20,4,0.0
1 - 20,1,20,5,0.0
1 - 20,1,20,6,0.0
1 - 20,1,20,7,33.778194
1 - 20,1,20,8,56.129795
1 - 20,1,20,9,64.676186
1 - 20,1,20,10,67.094505
1 - 20,1,20,11,64.52213
1 - 20,1,20,12,58.37833
1 - 20,1,20,13,46.55705
