Month,Day,Hour,Temperature_2m,Shortwave_Radiation
1,1,0,-0.8,0.0
1,1,1,-1.3,0.0
1,1,2,-1.9,0.0
1,1,3,-3.1,0.0
1,1,4,-3.3,0.0
1,1,5,-3.4,0.0
1,1,6,-3.9,0.0
1,1,7,-3.9,0.0
1,1,8,-3.8,0.0
1,1,9,-4.4,0.0
1,1,10,-4.4,20.0
1,1,11,-3.2,101.0
1,1,12,-0.9,187.0
1,1,13,1.1,243.0
1,1,14,2.7,260.0
1,1,15,4.8,229.0
1,1,16,4.7,160.0
1,1,17,3.1,68.0
1,1,18,3.4,5.0
1,1,19,2.0,0.0
1,1,20,1.3,0.0
1,1,21,1.1,0.0
1,1,22,0.5,0.0
1,1,23,0.6,0.0
1,2,0,2.2,0.0
1,2,1,1.1,0.0
1,2,2,0.2,0.0
1,2,3,1.1,0.0
1,2,4,0.2,0.0
1,2,5,0.7,0.0
1,2,6,1.6,0.0
1,2,7,2.5,0.0
1,2,8,4.4,0.0
1,2,9,5.7,0.0
1,2,10,6.2,22.0
1,2,11,7.7,110.0
1,2,12,9.5,201.0
1,2,13,10.5,262.0
1,2,14,10.9,278.0
1,2,15,11.3,246.0
1,2,16,10.3,172.0
1,2,17,9.1,74.0
1,2,18,8.1,6.0
1,2,19,7.4,0.0
1,2,20,7.2,0.0
1,2,21,7.2,0.0
1,2,22,7.1,0.0
1,2,23,7.0,0.0
1,3,0,7.1,0.0
1,3,1,7.6,0.0
1,3,2,7.9,0.0
1,3,3,7.9,0.0
1,3,4,7.2,0.0
1,3,5,6.2,0.0
1,3,6,4.5,0.0
1,3,7,3.7,0.0
1,3,8,2.9,0.0
1,3,9,1.2,0.0
1,3,10,0.6,7.0
1,3,11,0.5,30.0
1,3,12,0.6,62.0
1,3,13,1.1,97.0
1,3,14,1.2,86.0
1,3,15,0.6,50.0
1,3,16,-0.0,47.0
1,3,17,-0.3,25.0
1,3,18,-0.2,3.0
1,3,19,-0.4,0.0
1,3,20,-0.7,0.0
1,3,21,-0.9,0.0
1,3,22,-0.9,0.0
1,3,23,-1.1,0.0
1,4,0,-1.5,0.0
1,4,1,-1.9,0.0
1,4,2,-2.0,0.0
1,4,3,-1.4,0.0
1,4,4,-1.1,0.0
1,4,5,-1.5,0.0
1,4,6,-1.8,0.0
1,4,7,-1.5,0.0
1,4,8,-1.2,0.0
1,4,9,-0.9,0.0
1,4,10,-1.5,12.0
1,4,11,-1.1,69.0
1,4,12,-0.5,129.0
1,4,13,0.0,262.0
1,4,14,0.2,296.0
1,4,15,1.0,266.0
1,4,16,0.8,191.0
1,4,17,-0.2,84.0
1,4,18,-0.6,7.0
1,4,19,-1.4,0.0
1,4,20,-1.7,0.0
1,4,21,-2.4,0.0
1,4,22,-2.7,0.0
1,4,23,-2.8,0.0
1,5,0,-3.4,0.0
1,5,1,-3.4,0.0
1,5,2,-4.2,0.0
1,5,3,-4.5,0.0
1,5,4,-4.5,0.0
1,5,5,-4.6,0.0
1,5,6,-5.4,0.0
1,5,7,-5.7,0.0
1,5,8,-6.0,0.0
1,5,9,-6.5,0.0
1,5,10,-6.5,23.0
1,5,11,-5.3,114.0
1,5,12,-3.2,208.0
1,5,13,-2.0,272.0
1,5,14,-0.8,291.0
1,5,15,1.5,260.0
1,5,16,1.3,174.0
1,5,17,0.4,71.0
1,5,18,-0.3,7.0
1,5,19,-0.8,0.0
1,5,20,-1.0,0.0
1,5,21,-1.4,0.0
1,5,22,-1.5,0.0
1,5,23,-1.5,0.0
1,6,0,-1.9,0.0
1,6,1,-1.9,0.0
1,6,2,-1.5,0.0
1,6,3,-1.2,0.0
1,6,4,-0.9,0.0
1,6,5,-0.8,0.0
1,6,6,-0.4,0.0
1,6,7,-0.4,0.0
1,6,8,-0.1,0.0
1,6,9,0.1,0.0
1,6,10,0.4,10.0
1,6,11,1.1,50.0
1,6,12,1.8,90.0
1,6,13,2.5,100.0
1,6,14,3.7,176.0
1,6,15,5.1,185.0
1,6,16,5.2,149.0
1,6,17,4.0,71.0
1,6,18,3.4,7.0
