Date,Month,Day,Hour,global_tilted_irradiance_instant,Temperature_2m,Shortwave_Radiation,Dayofweek,Base,Peak,Offpeak,Min_Price,Max_Price,Avg_Weighted_Price
1 - 1,1,1,0,0.0,-0.8,0.0,3,3250.67,3297.17,3204.17,490.0,8300.0,3518.41
1 - 1,1,1,1,0.0,-1.3,0.0,3,3250.67,3297.17,3204.17,490.0,8300.0,3518.41
1 - 1,1,1,2,0.0,-1.9,0.0,3,3250.67,3297.17,3204.17,490.0,8300.0,3518.41
1 - 1,1,1,3,0.0,-3.1,0.0,3,3250.67,3297.17,3204.17,490.0,8300.0,3518.41
1 - 1,1,1,4,0.0,-3.3,0.0,3,3250.67,3297.17,3204.17,490.0,8300.0,3518.41
1 - 1,1,1,5,0.0,-3.4,0.0,3,3250.67,3297.17,3204.17,490.0,8300.0,3518.41
1 - 1,1,1,6,0.0,-3.9,0.0,3,3250.67,3297.17,3204.17,490.0,8300.0,3518.41
1 - 1,1,1,7,28.780107,-3.9,0.0,3,3250.67,3297.17,3204.17,490.0,8300.0,3518.41
1 - 1,1,1,8,57.330685,-3.8,0.0,3,3250.67,3297.17,3204.17,490.0,8300.0,3518.41
1 - 1,1,1,9,65.67145,-4.4,0.0,3,3250.67,3297.17,3204.17,490.0,8300.0,3518.41
1 - 1,1,1,10,67.41073,-4.4,20.0,3,3250.67,3297.17,3204.17,490.0,8300.0,3518.41
1 - 1,1,1,11,64.23602,-3.2,101.0,3,3250.67,3297.17,3204.17,490.0,8300.0,3518.41
1 - 1,1,1,12,56.4883,-0.9,187.0,3,3250.67,3297.17,3204.17,490.0,8300.0,3518.41
1 - 1,1,1,13,41.95282,1.1,243.0,3,3250.67,3297.17,3204.17,490.0,8300.0,3518.41
1 - 1,1,1,14,17.06886,2.7,260.0,3,3250.67,3297.17,3204.17,490.0,8300.0,3518.41
1 - 1,1,1,15,0.0,4.8,229.0,3,3250.67,3297.17,3204.17,490.0,8300.0,3518.41
