,Date,Month,Day,Day_of_week,Hour,Price,Last_Price,Vol_Sale,Vol_Buy
0,1 - 1,1,1,3,1,3476.08,3499.97,124.0,124.0
1,1 - 1,1,1,3,2,2892.18,2899.97,186.7,186.7
2,1 - 1,1,1,3,3,2431.4,2439.99,211.5,211.5
3,1 - 1,1,1,3,4,2238.05,2235.0,236.2,236.2
4,1 - 1,1,1,3,5,1928.91,1939.97,231.4,231.4
5,1 - 1,1,1,3,6,1989.85,1999.99,240.0,240.0
6,1 - 1,1,1,3,7,748.71,750.0,229.5,229.5
7,1 - 1,1,1,3,8,1888.51,1939.3,256.4,256.4
8,1 - 1,1,1,3,9,955.08,990.0,307.4,307.4
9,1 - 1,1,1,3,10,825.71,875.0,286.4,286.4
10,1 - 1,1,1,3,11,468.26,490.0,304.0,304.0
11,1 - 1,1,1,3,12,484.5,498.0,290.1,290.1
12,1 - 1,1,1,3,13,468.36,490.0,301.2,301.2
13,1 - 1,1,1,3,14,1151.14,1500.0,203.2,203.2
14,1 - 1,1,1,3,15,3003.47,2637.0,152.4,152.4
15,1 - 1,1,1,3,16,4102.74,4179.97,192.2,192.2
16,1 - 1,1,1,3,17,5179.26,5200.0,192.5,192.5
17,1 - 1,1,1,3,18,8274.14,8299.0,164.6,164.6
18,1 - 1,1,1,3,19,8154.71,8199.9,155.9,155.9
19,1 - 1,1,1,3,20,6452.36,6599.9,203.0,203.0
20,1 - 1,1,1,3,21,6567.86,6598.0,225.9,225.9
21,1 - 1,1,1,3,22,5958.3,5969.99,211.3,211.3
22,1 - 1,1,1,3,23,4160.01,4179.98,250.8,250.8
23,1 - 1,1,1,3,24,3952.13,3969.99,163.8,163.8
24,1 - 2,1,2,4,1,2490.62,2498.57,84.7,84.7
25,1 - 2,1,2,4,2,2662.36,2663.98,150.3,150.3
26,1 - 2,1,2,4,3,1998.69,1999.98,189.9,189.9
27,1 - 2,1,2,4,4,1188.5,1195.0,181.1,181.1
28,1 - 2,1,2,4,5,1998.49,1999.98,173.7,173.7
29,1 - 2,1,2,4,6,2487.46,2490.0,171.6,171.6
30,1 - 2,1,2,4,7,3995.85,3998.57,90.0,90.0
31,1 - 2,1,2,4,8,5374.42,5380.0,109.9,109.9
32,1 - 2,1,2,4,9,4678.51,4679.99,157.6,157.6
33,1 - 2,1,2,4,10,4995.64,4999.95,177.7,177.7
34,1 - 2,1,2,4,11,4394.9,4399.99,177.7,177.7
35,1 - 2,1,2,4,12,4646.51,4649.0,123.3,123.3
36,1 - 2,1,2,4,13,4344.19,4348.57,121.8,121.8
37,1 - 2,1,2,4,14,4642.3,2650.0,110.5,110.5
38,1 - 2,1,2,4,15,5514.9,5567.0,88.7,88.7
39,1 - 2,1,2,4,16,5491.37,5499.99,130.6,130.6
40,1 - 2,1,2,4,17,5560.88,5566.31,185.4,185.4
41,1 - 2,1,2,4,18,8144.58,8199.97,137.4,137.4
42,1 - 2,1,2,4,19,8113.54,8199.97,101.5,101.5
43,1 - 2,1,2,4,20,7066.43,7099.0,152.4,152.4
44,1 - 2,1,2,4,21,6586.07,6599.93,154.5,154.5
45,1 - 2,1,2,4,22,5957.54,5979.96,187.8,187.8
46,1 - 2,1,2,4,23,4969.03,4979.97,263.2,263.2
47,1 - 2,1,2,4,24,4767.95,4740.0,153.5,153.5
