Date,Month,Day,Day_of_week,Hour,DAM_Price,DAM_Vol_Sale,DAM_Vol_Buy,IDM_Price,IDM_Last_Price,IDM_Vol_Sale,IDM_Vol_Buy,global_tilted_irradiance_instant,Temperature_2m,Shortwave_Radiation,Avg_Weighted_Price
1 - 1,1,1,3,1,3500.0,2705.6,2705.6,3476.08,3499.97,124.0,124.0,0.0,-1.3,0.0,3518.41
1 - 1,1,1,3,2,2900.0,2669.8,2669.8,2892.18,2899.97,186.7,186.7,0.0,-1.9,0.0,3518.41
1 - 1,1,1,3,3,2440.0,2532.8,2532.8,2431.4,2439.99,211.5,211.5,0.0,-3.1,0.0,3518.41
1 - 1,1,1,3,4,2250.0,2446.1,2446.1,2238.05,2235.0,236.2,236.2,0.0,-3.3,0.0,3518.41
1 - 1,1,1,3,5,1940.0,2390.0,2390.0,1928.91,1939.97,231.4,231.4,0.0,-3.4,0.0,3518.41
1 - 1,1,1,3,6,2000.0,2388.0,2388.0,1989.85,1999.99,240.0,240.0,0.0,-3.9,0.0,3518.41
1 - 1,1,1,3,7,750.0,2203.2,2203.2,748.71,750.0,229.5,229.5,28.780107,-3.9,0.0,3518.41
1 - 1,1,1,3,8,1940.0,2236.2,2236.2,1888.51,1939.3,256.4,256.4,57.330685,-3.8,0.0,3518.41
1 - 1,1,1,3,9,990.0,2049.0,2049.0,955.08,990.0,307.4,307.4,65.67145,-4.4,0.0,3518.41
1 - 1,1,1,3,10,875.0,2368.1,2368.1,825.71,875.0,286.4,286.4,67.41073,-4.4,20.0,3518.41
1 - 1,1,1,3,11,490.0,2422.9,2422.9,468.26,490.0,304.0,304.0,64.23602,-3.2,101.0,3518.41
1 - 1,1,1,3,12,500.0,2508.1,2508.1,484.5,498.0,290.1,290.1,56.4883,-0.9,187.0,3518.41
1 - 1,1,1,3,13,490.0,2479.8,2479.8,468.36,490.0,301.2,301.2,41.95282,1.1,243.0,3518.41
1 - 1,1,1,3,14,1111.0,2523.2,2523.2,1151.14,1500.0,203.2,203.2,17.06886,2.7,260.0,3518.41
1 - 1,1,1,3,15,2630.0,2581.3,2581.3,3003.47,2637.0,152.4,152.4,0.0,4.8,229.0,3518.41
1 - 1,1,1,3,16,4180.0,2847.0,2847.0,4102.74,4179.97,192.2,192.2,0.0,4.7,160.0,3518.41
1 - 1,1,1,3,17,5200.0,3168.8,3168.8,5179.26,5200.0,192.5,192.5,0.0,3.1,68.0,3518.41
1 - 1,1,1,3,18,8300.0,3315.9,3315.9,8274.14,8299.0,164.6,164.6,0.0,3.4,5.0,3518.41
1 - 1,1,1,3,19,8200.0,3209.4,3209.4,8154.71,8199.9,155.9,155.9,0.0,2.0,0.0,3518.41
1 - 1,1,1,3,20,6600.0,3049.9,3049.9,6452.36,6599.9,203.0,203.0,0.0,1.3,0.0,3518.41
1 - 1,1,1,3,21,6600.0,3054.7,3054.7,6567.86,6598.0,225.9,225.9,0.0,1.1,0.0,3518.41
1 - 1,1,1,3,22,5980.0,2902.9,2902.9,5958.3,5969.99,211.3,211.3,0.0,0.5,0.0,3518.41
1 - 1,1,1,3,23,4180.0,2394.5,2394.5,4160.01,4179.98,250.8,250.8,0.0,0.6,0.0,3518.41
1 - 1,1,1,3,24,3970.0,2555.4,2555.4,3952.13,3969.99,163.8,163.8,0.0,-0.8,0.0,3518.41
1 - 2,1,2,4,1,2500.0,2434.0,2434.0,2490.62,2498.57,84.7,84.7,0.0,1.1,0.0,4879.71
1 - 2,1,2,4,2,2664.0,2556.3,2556.3,2662.36,2663.98,150.3,150.3,0.0,0.2,0.0,4879.71
1 - 2,1,2,4,3,2000.0,2400.7,2400.7,1998.69,1999.98,189.9,189.9,0.0,1.1,0.0,4879.71
1 - 2,1,2,4,4,1199.0,2347.6,2347.6,1188.5,1195.0,181.1,181.1,0.0,0.2,0.0,4879.71
1 - 2,1,2,4,5,2000.0,2433.5,2433.5,1998.49,1999.98,173.7,173.7,0.0,0.7,0.0,4879.71
1 - 2,1,2,4,6,2500.0,2451.6,2451.6,2487.46,2490.0,171.6,171.6,0.0,1.6,0.0,4879.71
1 - 2,1,2,4,7,4000.0,2606.6,2606.6,3995.85,3998.57,90.0,90.0,31.093391,2.5,0.0,4879.71
1 - 2,1,2,4,8,5380.0,2899.5,2899.5,5374.42,5380.0,109.9,109.9,54.947544,4.4,0.0,4879.71
1 - 2,1,2,4,9,4680.0,3226.9,3226.9,4678.51,4679.99,157.6,157.6,62.60826,5.7,0.0,4879.71
1 - 2,1,2,4,10,5000.0,3637.1,3637.1,4995.64,4999.95,177.7,177.7,64.58171,6.2,22.0,4879.71
1 - 2,1,2,4,11,4400.0,3579.8,3579.8,4394.9,4399.99,177.7,177.7,60.71488,7.7,110.0,4879.71
1 - 2,1,2,4,12,4650.0,3663.6,3663.6,4646.51,4649.0,123.3,123.3,53.270363,9.5,201.0,4879.71
1 - 2,1,2,4,13,4350.0,3468.7,3468.7,4344.19,4348.57,121.8,121.8,45.54496,10.5,262.0,4879.71
1 - 2,1,2,4,14,4650.0,3342.2,3342.2,4642.3,2650.0,110.5,110.5,17.793118,10.9,278.0,4879.71
1 - 2,1,2,4,15,5567.26,3414.6,3414.6,5514.9,5567.0,88.7,88.7,0.0,11.3,246.0,4879.71
1 - 2,1,2,4,16,5500.0,3646.8,3646.8,5491.37,5499.99,130.6,130.6,0.0,10.3,172.0,4879.71
