step,action_battery,action_grid,soc,target_soc,solar_gen_kwh,solar_surplus_kwh,battery_kwh,grid_kwh,unmet_load_kwh,lcos_cost,mismatch,money_earned_ts,reward,reward_market,reward_lcos,reward_unmet,reward_mismatch,reward_soc_soft,reward_reserve,reward_preparation,reward_soc_target,curtailed_kwh,reward_waste,reward_curtail,reward_price_timing,reward_solar_priority
0,-0.9248,0.7293,0.2,0.3,0.0,0.0,-0.0,5.23,0.0,0.0,0.0,-54.915,-26.1628,-54.915,-0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.4921,0.0
1,-0.9214,0.7363,0.2,0.3,0.0,0.0,-0.0,4.47,0.0,0.0,0.0,-46.935,-22.4191,-46.935,-0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.1127,0.0
2,-0.916,0.7384,0.2,0.3,0.0,0.0,-0.0,5.25,0.0,0.0,0.0,-55.125,-26.2614,-55.125,-0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.5284,0.0
3,-0.9187,0.7414,0.2,0.3,0.0,0.0,-0.0,4.605,0.0,0.0,0.0,-48.3525,-23.0841,-48.3525,-0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.3578,0.0
4,-0.9269,0.7626,0.2,0.3,0.0,0.0,-0.0,4.93,0.0,0.0,0.0,-50.5177,-23.6872,-50.5177,-0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.7003,0.0
5,-0.9298,0.7738,0.2,0.3,0.0,0.0,-0.0,4.91,0.0,0.0,0.0,-50.3128,-23.5927,-50.3128,-0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.6691,0.0
6,-0.9318,0.7772,0.2,0.3,0.0,0.0,-0.0,4.6625,0.0,0.0,0.0,-47.7766,-22.4237,-47.7766,-0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.2825,0.0
7,-0.9254,0.7621,0.2,0.3,0.0,0.0,-0.0,4.88,0.0,0.0,0.0,-50.0054,-23.451,-50.0054,-0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.6222,0.0
8,-0.9236,0.7561,0.2,0.3,0.0,0.0,-0.0,5.2975,0.0,0.0,0.0,-44.499,-17.5955,-44.499,-0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5102,0.0
9,-0.9197,0.741,0.2,0.3,0.0,0.0,-0.0,5.1575,0.0,0.0,0.0,-43.323,-17.1411,-43.323,-0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4702,0.0
10,-0.9144,0.7021,0.2,0.3,0.0,0.0,-0.0,5.4275,0.0,0.0,0.0,-45.591,-18.0175,-45.591,-0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5472,0.0
11,-0.9056,0.6677,0.2,0.3,0.0,0.0,-0.0,5.4925,0.0,0.0,0.0,-46.137,-18.2285,-46.137,-0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5657,0.0
12,-0.9022,0.6555,0.2,0.3,0.0,0.0,-0.0,4.4925,0.0,0.0,0.0,-36.3892,-13.9043,-36.3892,-0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6284,0.0
13,-0.8932,0.6207,0.2,0.3,0.0,0.0,-0.0,4.795,0.0,0.0,0.0,-38.8395,-14.8136,-38.8395,-0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8054,0.0
14,-0.8854,0.5721,0.2,0.3,0.0,0.0,-0.0,4.5825,0.0,0.0,0.0,-37.1182,-14.1749,-37.1182,-0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6811,0.0
15,-0.869,0.5585,0.2,0.3,0.0,0.0,-0.0,5.5275,0.0,0.0,0.0,-44.7727,-17.0155,-44.7727,-0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.234,0.0
16,-0.8755,0.5535,0.2,0.3,0.0,0.0,-0.0,5.355,0.0,0.0,0.0,-45.5175,-18.2106,-45.5175,-0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.991,0.0
17,-0.8764,0.594,0.2,0.3,0.0,0.0,-0.0,4.8025,0.0,0.0,0.0,-40.8212,-16.373,-40.8212,-0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8888,0.0
18,-0.8739,0.6263,0.2,0.3,0.0,0.0,-0.0,4.78,0.0,0.0,0.0,-40.63,-16.2981,-40.63,-0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8846,0.0
19,-0.8711,0.6574,0.2,0.3,0.0,0.0,-0.0,5.0525,0.0,0.0,0.0,-42.9462,-17.2045,-42.9462,-0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9351,0.0
