step,action_battery,action_grid,soc,target_soc,battery_kwh,solar_gen_kwh,solar_surplus_kwh,grid_kwh,unmet_load_kwh,lcos_cost,mismatch,money_earned_ts,reward
0,-0.942,-0.2026,0.3645,0.2,-23.5499,0.0,0.0,0.0,0.0,35.3248,5.066,0,-45.4569
1,-0.7571,-0.3811,0.1752,0.2,-18.9286,0.0,0.0,0.0,0.0,28.3929,9.5278,0,-47.6181
2,-0.2595,-0.0315,0.1103,0.2,-6.4871,0.0,0.0,0.0,0.0,9.7306,0.7875,0,-11.3538
3,-0.2725,-0.0334,0.0422,0.2,-6.8133,0.0,0.0,0.0,0.0,10.2199,0.8359,0,-12.0411
4,0.4009,-0.1093,0.1374,0.2,9.5208,0.0,0.0,10.0373,0.0,14.2811,7.3044,100,-129.2867
5,0.189,-0.1082,0.1823,0.2,4.4897,0.0,0.0,4.7415,0.0,6.7346,2.0366,47,-58.2246
6,0.0806,-0.1102,0.2015,0.2,1.9146,0.0,0.0,2.0309,0.0,2.8719,0.724,20,-24.6285
7,0.0349,-0.1095,0.2097,0.2,0.8279,0.0,0.0,0.887,0.0,1.2419,1.8496,9,-13.811
8,0.0516,-0.1291,0.222,0.2,1.2262,0.0,0.0,1.3041,0.0,1.8393,1.9235,13,-18.7274
9,0.0212,-0.1284,0.227,0.2,0.5041,0.0,0.0,0.544,0.0,0.7562,2.6657,5,-11.5276
10,0.0087,-0.1281,0.2291,0.2,0.2068,0.0,0.0,0.231,0.0,0.3102,2.9716,2,-8.5639
11,0.0036,-0.128,0.23,0.2,0.0848,0.0,0.0,0.1026,0.0,0.1272,3.0971,1,-7.3478
12,0.0497,-0.1373,0.2418,0.2,1.1811,0.0,0.0,1.2568,0.0,1.7717,2.1757,13,-18.6914
13,0.0235,-0.1354,0.2474,0.2,0.5589,0.0,0.0,0.6018,0.0,0.8383,2.7831,6,-12.423
14,0.0131,-0.1344,0.2505,0.2,0.3109,0.0,0.0,0.3408,0.0,0.4663,3.0194,3,-9.9133
