step,action_battery,action_grid,soc,target_soc,solar_gen_kwh,solar_surplus_kwh,battery_kwh,grid_kwh,unmet_load_kwh,lcos_cost,mismatch,money_earned_ts,reward,reward_market,reward_lcos,reward_unmet,reward_mismatch,reward_soc_soft,reward_reserve,reward_preparation,reward_soc_target,reward_waste
0,-0.3205,0.0129,0.2,0.2,0.0,0.0,-0.0,4.4975,0.0,0.0,0.0,-49.4725,-49.4725,-49.4725,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-0.4668,0.0086,0.2,0.2,0.0,0.0,-0.0,4.8775,0.0,0.0,0.0,-53.6525,-53.6525,-53.6525,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,-0.4711,0.0338,0.2,0.2,0.0,0.0,-0.0,4.87,0.0,0.0,0.0,-53.57,-53.57,-53.57,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,-0.5126,-0.0016,0.2,0.2,0.0,0.0,-0.0,5.3675,0.0,0.0,0.0,-59.0425,-59.0425,-59.0425,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,-0.6829,0.0835,0.2,0.2,0.0,0.0,-0.0,5.3225,0.0,0.0,0.0,-54.8271,-54.8271,-54.8271,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,-0.746,0.081,0.2,0.2,0.0,0.0,-0.0,4.7375,0.0,0.0,0.0,-48.801,-48.801,-48.801,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,-0.8115,0.0838,0.2,0.2,0.0,0.0,-0.0,5.275,0.0,0.0,0.0,-54.3378,-54.3378,-54.3378,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,-0.8109,0.0702,0.2,0.2,0.0,0.0,-0.0,5.0325,0.0,0.0,0.0,-51.8398,-51.8398,-51.8398,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,-0.8075,0.203,0.2,0.2,0.0,0.0,-0.0,5.1475,0.0,0.0,0.0,-48.9754,-48.9754,-48.9754,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,-0.777,0.2742,0.2,0.2,0.0,0.0,-0.0,5.5275,0.0,0.0,0.0,-52.5909,-52.5909,-52.5909,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,-0.6948,0.206,0.2,0.2,0.0,0.0,-0.0,5.425,0.0,0.0,0.0,-51.6157,-51.6157,-51.6157,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,-0.4099,0.0007,0.2,0.2,0.0,0.0,-0.0,4.9125,0.0,0.0,0.0,-46.7395,-46.7395,-46.7395,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,-0.2514,0.0298,0.2,0.2,0.0,0.0,-0.0,5.4925,0.0,0.0,0.0,-52.1787,-52.1787,-52.1787,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,-0.1926,0.0248,0.2,0.2,0.0,0.0,-0.0,5.1175,0.0,0.0,0.0,-48.6162,-48.6162,-48.6162,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,-0.1004,0.0018,0.2,0.2,0.0,0.0,-0.0,4.8825,0.0,0.0,0.0,-46.3838,-46.3838,-46.3838,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,-0.0786,-0.0344,0.2,0.2,0.0,0.0,-0.0,5.5,0.0,0.0,0.0,-52.25,-52.25,-52.25,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,-0.0212,-0.0118,0.2,0.2,0.0,0.0,-0.0,4.9075,0.0,0.0,0.0,-46.6212,-46.6212,-46.6212,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,-0.2185,0.02,0.2,0.2,0.0,0.0,-0.0,5.155,0.0,0.0,0.0,-48.9725,-48.9725,-48.9725,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,-0.1069,0.0585,0.2,0.2,0.0,0.0,-0.0,5.105,0.0,0.0,0.0,-48.4975,-48.4975,-48.4975,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,-0.1905,0.0243,0.2,0.2,0.0,0.0,-0.0,5.47,0.0,0.0,0.0,-51.965,-51.965,-51.965,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,-0.351,0.0246,0.2,0.2,0.0,0.0,-0.0,4.7425,0.0,0.0,0.0,-46.8938,-46.8938,-46.8938,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,-0.4016,0.0002,0.2,0.2,0.0,0.0,-0.0,4.5775,0.0,0.0,0.0,-45.2623,-45.2623,-45.2623,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,-0.5189,-0.0039,0.2,0.2,0.0,0.0,-0.0,4.495,0.0,0.0,0.0,-44.4466,-44.4466,-44.4466,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,-0.5257,-0.0118,0.2,0.2,0.0,0.0,-0.0,4.6375,0.0,0.0,0.0,-45.8556,-45.8556,-45.8556,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,-0.2876,-0.0164,0.2,0.2,0.6584,0.0,-0.0,4.4541,0.0,0.0,0.0,-48.8477,-48.8477,-48.8477,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,-0.3957,-0.0346,0.2,0.2,0.6584,0.0,-0.0,5.7241,0.0,0.0,0.0,-62.7758,-62.7758,-62.7758,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,-0.6108,-0.0412,0.2,0.2,0.6584,0.0,-0.0,6.9066,0.0,0.0,0.0,-75.7442,-75.7442,-75.7442,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,-0.6341,-0.0699,0.2,0.2,0.6584,0.0,-0.0,8.8516,0.0,0.0,0.0,-97.075,-97.075,-97.075,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,-0.7381,0.0158,0.2,0.2,2.9852,0.0,-0.0,6.2198,0.0,0.0,0.0,-73.8101,-73.8101,-73.8101,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,-0.8914,0.0224,0.2,0.2,2.9852,0.0,-0.0,8.0698,0.0,0.0,0.0,-95.764,-95.764,-95.764,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,-0.928,0.0204,0.2,0.2,2.9852,0.0,-0.0,9.0973,0.0,0.0,0.0,-107.9573,-107.9573,-107.9573,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,-0.8995,-0.0368,0.2,0.2,2.9852,0.0,-0.0,11.7673,0.0,0.0,0.0,-139.6422,-139.6422,-139.6422,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,-0.8741,0.1004,0.2,0.2,9.0157,0.0,-0.0,4.5018,0.0,0.0,0.0,-53.4231,-53.4231,-53.4231,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,-0.7763,0.0547,0.2,0.2,9.0157,0.0,-0.0,7.3793,0.0,0.0,0.0,-87.5705,-87.5705,-87.5705,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,-0.8401,0.0678,0.2,0.2,9.0157,0.0,-0.0,6.5818,0.0,0.0,0.0,-78.1065,-78.1065,-78.1065,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
