step,action_battery,action_grid,soc,target_soc,solar_gen_kwh,solar_surplus_kwh,battery_kwh,grid_kwh,unmet_load_kwh,lcos_cost,mismatch,money_earned_ts
0,-1.0,0.0,0.3125,,0.0,0.0,-35.625,0.0,0.0,56.25,0.0,0.0
1,-1.0,0.0,0.125,,0.0,0.0,-35.625,0.0,0.0,56.25,0.0,0.0
2,-1.0,-1.0,0.125,,0.0,0.0,-0.0,5.4875,0.0,0.0,0.0,-54.875
3,-1.0,-1.0,0.125,,0.0,0.0,-0.0,4.9575,0.0,0.0,0.0,-49.575
4,-1.0,-1.0,0.125,,0.0,0.0,-0.0,5.8425,0.0,0.0,0.0,-58.425
5,-1.0,-1.0,0.125,,0.0,0.0,-0.0,5.63,0.0,0.0,0.0,-56.3
6,-1.0,-1.0,0.125,,0.0,0.0,-0.0,4.86,0.0,0.0,0.0,-48.6
7,-1.0,-1.0,0.125,,0.0,0.0,-0.0,5.0075,0.0,0.0,0.0,-50.075
8,-1.0,-1.0,0.125,,0.0,0.0,-0.0,4.9275,0.0,0.0,0.0,-49.275
9,-1.0,-1.0,0.125,,0.0,0.0,-0.0,4.6825,0.0,0.0,0.0,-46.825
10,-1.0,-1.0,0.125,,0.0,0.0,-0.0,4.6675,0.0,0.0,0.0,-46.675
11,-1.0,-1.0,0.125,,0.0,0.0,-0.0,5.9025,0.0,0.0,0.0,-59.025
12,-1.0,-1.0,0.125,,0.0,0.0,-0.0,5.1225,0.0,0.0,0.0,-51.225
13,-1.0,-1.0,0.125,,0.0,0.0,-0.0,7.4075,0.0,0.0,0.0,-74.075
14,-1.0,-1.0,0.125,,0.0,0.0,-0.0,5.58,0.0,0.0,0.0,-55.8
15,-1.0,-1.0,0.125,,0.0,0.0,-0.0,5.3025,0.0,0.0,0.0,-53.025
16,-1.0,-1.0,0.125,,0.0,0.0,-0.0,5.9025,0.0,0.0,0.0,-59.025
17,-1.0,-1.0,0.125,,0.0,0.0,-0.0,5.6575,0.0,0.0,0.0,-56.575
18,-1.0,-1.0,0.125,,0.0,0.0,-0.0,5.1875,0.0,0.0,0.0,-51.875
19,-1.0,-1.0,0.125,,0.0,0.0,-0.0,5.025,0.0,0.0,0.0,-50.25
20,-1.0,-1.0,0.125,,0.0,0.0,-0.0,5.98,0.0,0.0,0.0,-59.8
21,-1.0,-1.0,0.125,,0.0,0.0,-0.0,5.56,0.0,0.0,0.0,-55.6
22,-1.0,-1.0,0.125,,0.0,0.0,-0.0,5.925,0.0,0.0,0.0,-59.25
23,-1.0,-1.0,0.125,,0.0,0.0,-0.0,4.6225,0.0,0.0,0.0,-46.225
24,-1.0,-1.0,0.125,,0.0,0.0,-0.0,5.7675,0.0,0.0,0.0,-57.675
25,-1.0,-1.0,0.125,,0.0,0.0,-0.0,5.435,0.0,0.0,0.0,-54.35
26,-1.0,-1.0,0.125,,0.0,0.0,-0.0,4.6275,0.0,0.0,0.0,-46.275
27,-1.0,-1.0,0.125,,0.0,0.0,-0.0,5.3575,0.0,0.0,0.0,-53.575
28,-1.0,-1.0,0.125,,0.0,0.0,-0.0,5.51,0.0,0.0,0.0,-55.1
29,-1.0,-1.0,0.125,,0.0,0.0,-0.0,4.455,0.0,0.0,0.0,-44.55
30,-1.0,-1.0,0.125,,0.0,0.0,-0.0,5.1475,0.0,0.0,0.0,-51.475
31,-1.0,-1.0,0.125,,0.0,0.0,-0.0,5.7275,0.0,0.0,0.0,-57.275
32,-1.0,-1.0,0.125,,0.0,0.0,-0.0,14.695,0.0,0.0,0.0,-146.95
33,-1.0,-1.0,0.125,,0.0,0.0,-0.0,15.4625,0.0,0.0,0.0,-154.625
34,-1.0,-1.0,0.125,,0.0,0.0,-0.0,15.3875,0.0,0.0,0.0,-153.875
35,-1.0,-1.0,0.125,,0.0,0.0,-0.0,14.7275,0.0,0.0,0.0,-147.275
36,-1.0,-1.0,0.125,,0.0,0.0,-0.0,17.6225,0.0,0.0,0.0,-176.225
37,-1.0,-1.0,0.125,,0.0,0.0,-0.0,16.98,0.0,0.0,0.0,-169.8
38,-1.0,-1.0,0.125,,0.0,0.0,-0.0,13.8275,0.0,0.0,0.0,-138.275
