Date,Година,"Ціна, грн/МВт.год","Обсяг продажу, МВт.год","Обсяг купівлі, МВт.год","Заявлений обсяг продажу, МВт.год","Заявлений обсяг купівлі, МВт.год"
2025-01-01,01:00,"3 500,00","2 705,6","2 705,6","4 188,5","2 705,7"
2025-01-01,02:00,"2 900,00","2 669,8","2 669,8","4 246,7","2 669,9"
2025-01-01,03:00,"2 440,00","2 532,8","2 532,8","4 314,2","2 532,9"
2025-01-01,04:00,"2 250,00","2 446,1","2 446,1","4 411,7","2 446,2"
2025-01-01,05:00,"1 940,00","2 390,0","2 390,0","4 450,7","2 390,1"
2025-01-01,06:00,"2 000,00","2 388,0","2 388,0","4 403,5","2 388,1"
2025-01-01,07:00,"750,00","2 203,2","2 203,2","4 395,8","2 203,4"
2025-01-01,08:00,"1 940,00","2 236,2","2 236,2","4 264,4","2 236,4"
2025-01-01,09:00,"990,00","2 049,0","2 049,0","4 519,9","2 049,2"
2025-01-01,10:00,"875,00","2 368,1","2 368,1","5 043,1","2 368,3"
2025-01-01,11:00,"490,00","2 422,9","2 422,9","5 444,4","2 423,1"
2025-01-01,12:00,"500,00","2 508,1","2 508,1","5 134,6","2 508,3"
2025-01-01,13:00,"490,00","2 479,8","2 479,8","5 024,6","2 480,0"
2025-01-01,14:00,"1 111,00","2 523,2","2 523,2","4 717,5","2 523,4"
2025-01-01,15:00,"2 630,00","2 581,3","2 581,3","4 264,9","2 581,5"
2025-01-01,16:00,"4 180,00","2 847,0","2 847,0","4 541,3","2 847,2"
2025-01-01,17:00,"5 200,00","3 168,8","3 168,8","4 459,8","3 169,0"
2025-01-01,18:00,"8 300,00","3 315,9","3 315,9","4 393,0","3 316,1"
2025-01-01,19:00,"8 200,00","3 209,4","3 209,4","4 396,8","3 209,6"
2025-01-01,20:00,"6 600,00","3 049,9","3 049,9","4 393,9","3 050,0"
2025-01-01,21:00,"6 600,00","3 054,7","3 054,7","4 498,9","3 054,8"
2025-01-01,22:00,"5 980,00","2 902,9","2 902,9","4 124,0","2 903,0"
2025-01-01,23:00,"4 180,00","2 394,5","2 394,5","4 038,8","2 396,6"
2025-01-01,24:00,"3 970,00","2 555,4","2 555,4","4 274,8","2 573,5"
2025-01-02,01:00,"2 500,00","2 434,0","2 434,0","3 331,4","2 434,0"
2025-01-02,02:00,"2 664,00","2 556,3","2 556,3","3 567,1","2 599,3"
2025-01-02,03:00,"2 000,00","2 400,7","2 400,7","3 618,1","2 450,7"
2025-01-02,04:00,"1 199,00","2 347,6","2 347,6","3 662,4","2 347,6"
2025-01-02,05:00,"2 000,00","2 433,5","2 433,5","3 798,2","2 479,5"
2025-01-02,06:00,"2 500,00","2 451,6","2 451,6","3 831,5","2 494,6"
2025-01-02,07:00,"4 000,00","2 606,6","2 606,6","3 742,4","2 606,6"
2025-01-02,08:00,"5 380,00","2 899,5","2 899,5","4 102,4","2 899,5"
2025-01-02,09:00,"4 680,00","3 226,9","3 226,9","4 442,9","3 226,9"
2025-01-02,10:00,"5 000,00","3 637,1","3 637,1","4 809,7","3 637,1"
2025-01-02,11:00,"4 400,00","3 579,8","3 579,8","4 947,0","3 579,8"
2025-01-02,12:00,"4 650,00","3 663,6","3 663,6","4 378,8","3 663,6"
2025-01-02,13:00,"4 350,00","3 468,7","3 468,7","4 279,1","3 468,7"
2025-01-02,14:00,"4 650,00","3 342,2","3 342,2","4 077,2","3 342,2"
2025-01-02,15:00,"5 567,26","3 414,6","3 414,6","3 645,1","3 414,6"
2025-01-02,16:00,"5 500,00","3 646,8","3 646,8","4 194,0","3 646,8"
2025-01-02,17:00,"5 566,31","3 797,3","3 797,3","4 209,3","3 797,3"
2025-01-02,18:00,"8 200,00","3 521,3","3 521,3","4 450,5","3 521,3"
2025-01-02,19:00,"8 200,00","3 363,1","3 363,1","4 413,4","3 363,1"
2025-01-02,20:00,"7 100,00","3 294,2","3 294,2","4 355,1","3 294,2"
2025-01-02,21:00,"6 600,00","3 145,2","3 145,2","4 356,5","3 145,2"
2025-01-02,22:00,"5 980,00","2 979,2","2 979,2","3 927,1","2 979,2"
2025-01-02,23:00,"4 980,00","2 732,4","2 732,4","3 972,4","2 732,4"
2025-01-02,24:00,"4 780,00","2 871,1","2 871,1","4 029,7","2 871,1"
2025-01-03,01:00,"3 800,00","2 477,8","2 477,8","3 361,9","2 477,8"
2025-01-03,02:00,"2 500,00","2 326,0","2 326,0","3 535,4","2 326,0"
2025-01-03,03:00,"2 000,00","2 386,7","2 386,7","3 678,9","2 386,7"
2025-01-03,04:00,"1 999,00","2 315,0","2 315,0","3 747,1","2 315,0"
2025-01-03,05:00,"2 000,00","2 335,8","2 335,8","3 743,2","2 335,8"
2025-01-03,06:00,"2 500,00","2 334,1","2 334,1","3 491,0","2 334,1"
2025-01-03,07:00,"3 920,00","2 519,7","2 519,7","3 482,4","2 519,7"
2025-01-03,08:00,"5 380,00","2 890,2","2 890,2","3 721,9","2 890,2"
2025-01-03,09:00,"6 200,00","3 301,2","3 301,2","4 060,8","3 301,2"
2025-01-03,10:00,"6 837,52","3 826,2","3 826,2","4 312,3","3 826,2"
2025-01-03,11:00,"6 200,00","3 851,3","3 851,3","4 515,0","3 857,3"
2025-01-03,12:00,"5 564,71","3 880,0","3 880,0","4 119,5","3 880,0"
2025-01-03,13:00,"5 565,85","3 724,0","3 724,0","4 101,9","3 724,0"
2025-01-03,14:00,"5 600,00","3 696,7","3 696,7","3 855,4","3 755,8"
2025-01-03,15:00,"5 600,00","3 468,6","3 468,6","3 627,3","3 630,9"
2025-01-03,16:00,"5 600,00","3 785,4","3 785,4","3 990,2","3 785,4"
