step,action_battery,action_grid,soc,target_soc,battery_kwh,solar_gen_kwh,solar_surplus_kwh,grid_kwh,unmet_load_kwh,lcos_cost,mismatch,money_earned_ts,reward
0,0.2297,0.0396,0.5273,0.2,2.7282,0.0,0.0,2.8771,0.0,4.0923,3.8683,29,-40.6002
1,0.2276,0.0404,0.5543,0.2,2.7023,0.0,0.0,2.8509,0.0,4.0534,3.8617,29,-40.2861
2,0.2239,0.0402,0.5809,0.2,2.659,0.0,0.0,2.8048,0.0,3.9886,3.8088,28,-39.6539
3,0.2246,0.0406,0.6076,0.2,2.6668,0.0,0.0,2.8131,0.0,4.0003,3.8277,28,-39.7869
4,0.2029,-0.0363,0.6317,0.2,2.4089,0.0,0.0,2.5412,0.0,3.6134,1.6332,25,-32.2922
5,0.2136,-0.0353,0.657,0.2,2.5361,0.0,0.0,2.675,0.0,3.8042,1.793,27,-34.1403
6,0.2275,-0.0343,0.684,0.2,2.7021,0.0,0.0,2.851,0.0,4.0532,1.9934,29,-36.5499
7,0.2293,-0.0351,0.7113,0.2,2.7234,0.0,0.0,2.8729,0.0,4.0851,1.9956,29,-36.805
8,0.2017,-0.0625,0.7352,0.2,2.3954,0.0,0.0,2.5276,0.0,3.5931,0.9658,25,-30.8007
9,0.2005,-0.0645,0.759,0.2,2.381,0.0,0.0,2.5132,0.0,3.5715,0.9002,25,-30.5038
10,0.1874,-0.0654,0.7813,0.2,2.2256,0.0,0.0,2.3484,0.0,3.3385,0.7136,23,-28.2493
11,0.183,-0.07,0.803,0.2,2.1728,0.0,0.0,2.2933,0.0,3.2592,0.5425,23,-27.2777
12,0.1391,-0.0833,0.8195,0.2,1.6521,0.0,0.0,1.7444,0.0,2.4782,0.3377,17,-20.5993
13,0.1342,-0.0883,0.8355,0.2,1.5934,0.0,0.0,1.6833,0.0,2.3901,0.5243,17,-20.2794
14,0.1287,-0.0936,0.8508,0.2,1.5284,0.0,0.0,1.6155,0.0,2.2926,0.724,16,-19.911
15,0.1248,-0.0977,0.8656,0.2,1.4825,0.0,0.0,1.5669,0.0,2.2237,0.8758,16,-19.4467
16,0.1083,-0.1664,0.8784,0.2,1.2855,0.0,0.0,1.3599,0.0,1.9283,2.7993,14,-20.9095
17,0.1075,-0.1668,0.8912,0.2,1.2762,0.0,0.0,1.3486,0.0,1.9143,2.8205,13,-20.8051
18,0.1061,-0.1708,0.9038,0.2,1.2595,0.0,0.0,1.3325,0.0,1.8893,2.9365,13,-20.8276
19,0.1032,-0.1711,0.916,0.2,1.2253,0.0,0.0,1.2953,0.0,1.838,2.9813,13,-20.4667
20,0.1394,-0.162,0.9326,0.2,1.6549,0.0,0.0,1.7472,0.0,2.4823,2.3032,17,-24.2496
21,0.1375,-0.1628,0.9489,0.2,1.6325,0.0,0.0,1.7251,0.0,2.4488,2.3459,17,-24.052
22,0.1341,-0.1633,0.9649,0.2,1.593,0.0,0.0,1.6833,0.0,2.3894,2.399,17,-23.6484
23,0.1317,-0.1649,0.9805,0.2,1.5635,0.0,0.0,1.6519,0.0,2.3452,2.4716,17,-23.3959
24,0.23,-0.1739,1.0,0.2,1.9515,0.0,0.0,2.061,0.0,2.9272,2.2868,21,-27.6636
25,0.2237,-0.1813,1.0,0.2,0.0,0.0,0.0,0.0062,0.0,0.0,4.5251,0,-8.5738
26,0.2278,-0.1837,1.0,0.2,0.0,0.0,0.0,0.0068,0.0,0.0,4.5855,0,-8.5965
27,0.8486,-0.5982,1.0,0.2,0.0,0.0,0.0,0.0,0.0495,0.0,14.9556,0,-30.1511
