Date,Година,"Ціна, грн/МВт.год","Мінімальна ціна, грн/МВт.год","Максимальна ціна, грн/МВт.год","Остання ціна, грн/МВт.год","Обсяг продажу, МВт.год","Обсяг купівлі, МВт.год","Заявлений обсяг продажу, МВт.год","Заявлений обсяг купівлі, МВт.год"
2025-01-01,01:00,"3 476,08","3 395,00","3 499,97","3 499,97","124,0","124,0","420,3","165,9"
2025-01-01,02:00,"2 892,18","2 813,00","2 900,00","2 899,97","186,7","186,7","247,1","218,1"
2025-01-01,03:00,"2 431,40","2 366,80","2 440,00","2 439,99","211,5","211,5","383,9","348,5"
2025-01-01,04:00,"2 238,05","1 501,10","2 250,01","2 235,00","236,2","236,2","510,4","268,3"
2025-01-01,05:00,"1 928,91","1 881,80","1 940,01","1 939,97","231,4","231,4","518,8","261,4"
2025-01-01,06:00,"1 989,85","1 940,00","2 000,01","1 999,99","240,0","240,0","447,9","265,5"
2025-01-01,07:00,"748,71","629,00","1 999,99","750,00","229,5","229,5","312,8","258,6"
2025-01-01,08:00,"1 888,51","1 819,00","1 940,01","1 939,30","256,4","256,4","561,3","281,2"
2025-01-01,09:00,"955,08","749,00","6 900,00","990,00","307,4","307,4","406,6","355,3"
2025-01-01,10:00,"825,71","500,00","875,00","875,00","286,4","286,4","447,5","316,0"
2025-01-01,11:00,"468,26","340,00","490,00","490,00","304,0","304,0","618,5","343,6"
2025-01-01,12:00,"484,50","250,00","500,00","498,00","290,1","290,1","651,9","325,5"
2025-01-01,13:00,"468,36","300,00","490,00","490,00","301,2","301,2","553,1","326,3"
2025-01-01,14:00,"1 151,14","899,00","1 500,00","1 500,00","203,2","203,2","353,9","457,7"
2025-01-01,15:00,"3 003,47","2 579,99","5 600,00","2 637,00","152,4","152,4","209,3","440,2"
2025-01-01,16:00,"4 102,74","3 498,99","4 180,00","4 179,97","192,2","192,2","543,8","240,5"
2025-01-01,17:00,"5 179,26","4 760,00","5 200,00","5 200,00","192,5","192,5","297,4","236,8"
2025-01-01,18:00,"8 274,14","8 051,00","8 300,00","8 299,00","164,6","164,6","414,9","203,0"
2025-01-01,19:00,"8 154,71","7 000,00","8 200,00","8 199,90","155,9","155,9","364,3","184,7"
2025-01-01,20:00,"6 452,36","5 000,00","6 600,00","6 599,90","203,0","203,0","454,1","274,9"
2025-01-01,21:00,"6 567,86","5 601,00","6 600,00","6 598,00","225,9","225,9","730,8","299,5"
2025-01-01,22:00,"5 958,30","5 800,60","5 980,00","5 969,99","211,3","211,3","544,1","243,7"
2025-01-01,23:00,"4 160,01","4 054,60","4 179,99","4 179,98","250,8","250,8","398,4","353,7"
2025-01-01,24:00,"3 952,13","3 850,90","3 969,99","3 969,99","163,8","163,8","472,7","208,4"
2025-01-02,01:00,"2 490,62","2 450,00","2 498,57","2 498,57","84,7","84,7","299,6","100,9"
2025-01-02,02:00,"2 662,36","2 624,00","2 663,99","2 663,98","150,3","150,3","361,6","164,4"
2025-01-02,03:00,"1 998,69","1 960,00","1 999,99","1 999,98","189,9","189,9","486,3","199,2"
2025-01-02,04:00,"1 188,50","1 100,00","1 198,99","1 195,00","181,1","181,1","414,5","196,8"
2025-01-02,05:00,"1 998,49","1 950,00","1 999,99","1 999,98","173,7","173,7","574,8","182,1"
2025-01-02,06:00,"2 487,46","2 000,00","2 499,99","2 490,00","171,6","171,6","343,2","175,6"
2025-01-02,07:00,"3 995,85","3 950,00","3 998,57","3 998,57","90,0","90,0","378,1","105,9"
